Time: 3/20:41:31 Arduino 0: 
Time: 3/20:41:32 Arduino 0: 0: 252.07,1: 229.22,2: 215.16,3: 203.55,4: 192.30,5: 183.16,6: 176.84
Time: 3/20:41:32 Arduino 0: 0: 252.42,1: 240.47,2: 228.52,3: 216.91,4: 202.50,5: 191.60,6: 181.76
Time: 3/20:41:32 Arduino 0: 0: 252.42,1: 241.17,2: 229.22,3: 219.38,4: 208.13,5: 194.77,6: 186.68
Time: 3/20:41:32 Arduino 0: 0: 252.42,1: 241.52,2: 232.38,3: 221.48,4: 209.53,5: 199.69,6: 188.44
Time: 3/20:41:32 Arduino 0: 0: 254.18,1: 244.69,2: 233.44,3: 224.65,4: 213.40,5: 201.09,6: 193.01
Time: 3/20:41:32 Arduino 0: 0: 256.99,1: 247.15,2: 237.66,3: 226.05,4: 215.86,5: 204.96,6: 193.71
Time: 3/20:41:32 Arduino 0: 0: 259.80,1: 250.66,2: 239.41,3: 230.27,4: 217.62,5: 206.72,6: 197.93
Time: 3/20:41:32 Arduino 0: 0: 263.32,1: 253.13,2: 242.93,3: 231.33,4: 221.48,5: 209.53,6: 198.98
Time: 3/20:41:32 Arduino 0: 0: 265.78,1: 255.59,2: 245.04,3: 235.20,4: 222.19,5: 212.34,6: 201.80
Time: 3/20:41:32 Arduino 0: 0: 268.59,1: 258.75,2: 247.50,3: 236.25,4: 226.05,5: 213.40,6: 203.55
Time: 3/20:41:32 Arduino 0: 0: 272.11,1: 261.21,2: 250.66,3: 239.77,4: 227.11,5: 216.91,6: 204.96
Time: 3/20:41:32 Arduino 0: 0: 274.57,1: 264.38,2: 251.72,3: 241.52,4: 230.27,5: 217.62,6: 208.13
Time: 3/20:41:32 Arduino 0: 0: 276.68,1: 265.78,2: 255.23,3: 242.93,4: 231.33,5: 221.13,6: 208.13
Time: 3/20:41:32 Arduino 0: 0: 279.14,1: 268.95,2: 256.29,3: 246.45,4: 233.79,5: 221.48,6: 211.99
Time: 3/20:41:33 Arduino 0: 0: 281.60,1: 270.70,2: 259.45,3: 247.15,4: 236.25,5: 224.30,6: 211.99
Time: 3/20:41:33 Arduino 0: 0: 284.41,1: 273.87,2: 260.86,3: 250.31,4: 236.60,5: 226.05,6: 214.80
Time: 3/20:41:33 Arduino 0: 0: 287.23,1: 276.68,2: 263.67,3: 251.37,4: 240.47,5: 227.46,6: 216.21
Time: 3/20:41:33 Arduino 0: 0: 288.98,1: 276.68,2: 265.08,3: 253.83,4: 240.47,5: 230.27,6: 217.62
Time: 3/20:41:33 Arduino 0: 0: 288.63,1: 278.09,2: 265.08,3: 254.18,4: 242.93,5: 229.92,6: 220.08
Time: 3/20:41:33 Arduino 0: 0: 288.28,1: 277.38,2: 266.48,3: 254.53,4: 242.58,5: 232.38,6: 219.02
Time: 3/20:41:33 Arduino 0: 0: 287.58,1: 278.09,2: 265.43,3: 255.59,4: 243.98,5: 231.68,6: 222.19
Time: 3/20:41:33 Arduino 0: 0: 287.58,1: 277.73,2: 266.84,3: 254.88,4: 244.34,5: 233.44,6: 220.78
Time: 3/20:41:33 Arduino 0: 0: 288.63,1: 277.38,2: 265.43,3: 255.94,4: 243.63,5: 232.73,6: 222.89
Time: 3/20:41:33 Arduino 0: 0: 272.11,1: 264.38,2: 257.34,3: 248.20,4: 240.47,5: 229.92,6: 219.38
Time: 3/20:41:33 Arduino 0: 0: 253.83,1: 251.02,2: 246.45,3: 241.52,4: 233.09,5: 226.41,6: 217.27
Time: 3/20:41:33 Arduino 0: 0: 252.42,1: 248.20,2: 242.23,3: 236.25,4: 230.98,5: 222.19,6: 215.16
Time: 3/20:41:33 Arduino 0: 0: 252.42,1: 246.80,2: 241.17,3: 234.84,4: 227.11,5: 221.48,6: 211.99
Time: 3/20:41:34 Arduino 0: 0: 252.07,1: 247.15,2: 239.41,3: 233.44,4: 226.76,5: 218.32,6: 212.34
Time: 3/20:41:34 Arduino 0: 0: 252.07,1: 246.09,2: 240.12,3: 232.03,4: 225.35,5: 218.67,6: 209.18
Time: 3/20:41:34 Arduino 0: 0: 252.42,1: 246.09,2: 238.36,3: 232.73,4: 224.30,5: 216.56,6: 210.23
Time: 3/20:41:34 Arduino 0: 0: 252.07,1: 245.74,2: 239.06,3: 230.98,4: 225.00,5: 216.91,6: 208.13
Time: 3/20:41:34 Arduino 0: 0: 252.07,1: 245.74,2: 238.36,3: 232.03,4: 223.24,5: 216.21,6: 208.48
Time: 3/20:41:34 Arduino 0: 0: 252.42,1: 246.09,2: 238.71,3: 230.63,4: 224.30,5: 215.16,6: 207.77
Time: 3/20:41:34 Arduino 0: 0: 252.42,1: 245.39,2: 238.71,3: 231.68,4: 222.54,5: 216.21,6: 207.42
Time: 3/20:41:34 Arduino 0: 0: 252.07,1: 246.45,2: 238.01,3: 230.98,4: 223.95,5: 214.45,6: 208.13
Time: 3/20:41:34 Arduino 0: 0: 252.42,1: 245.39,2: 238.71,3: 230.63,4: 222.54,5: 215.86,6: 206.02
Time: 3/20:41:34 Arduino 0: 0: 252.42,1: 245.74,2: 237.30,3: 231.33,4: 222.89,5: 214.10,6: 207.77
Time: 3/20:41:34 Arduino 0: 0: 252.42,1: 245.39,2: 238.71,3: 229.92,4: 222.89,5: 215.16,6: 205.66
Time: 3/20:41:34 Arduino 0: 0: 252.42,1: 245.39,2: 237.30,3: 230.98,4: 221.84,5: 214.10,6: 207.07
Time: 3/20:41:34 Arduino 0: 0: 252.42,1: 245.74,2: 238.36,3: 229.92,4: 223.24,5: 214.10,6: 206.02
Time: 3/20:41:34 Arduino 0: 0: 252.42,1: 244.69,2: 238.01,3: 230.98,4: 221.48,5: 214.80,6: 206.37
Time: 3/20:41:35 Arduino 0: 0: 252.07,1: 245.74,2: 237.66,3: 229.92,4: 223.24,5: 213.40,6: 206.37
Time: 3/20:41:35 Arduino 0: 0: 252.77,1: 245.39,2: 238.71,3: 230.27,4: 221.48,5: 214.80,6: 204.96
Time: 3/20:41:35 Arduino 0: 0: 252.07,1: 246.09,2: 237.66,3: 230.63,4: 222.54,5: 213.40,6: 207.07
Time: 3/20:41:35 Arduino 0: 0: 252.42,1: 245.04,2: 238.36,3: 229.57,4: 222.19,5: 214.80,6: 204.96
Time: 3/20:41:35 Arduino 0: 0: 252.42,1: 245.74,2: 237.30,3: 230.63,4: 221.84,5: 213.40,6: 206.72
Time: 3/20:41:35 Arduino 0: 0: 251.72,1: 245.39,2: 238.36,3: 229.57,4: 222.54,5: 214.10,6: 204.96
Time: 3/20:41:35 Arduino 0: 0: 252.42,1: 245.74,2: 237.66,3: 230.98,4: 221.48,5: 214.10,6: 206.37
Time: 3/20:41:35 Arduino 0: 0: 252.42,1: 245.74,2: 238.01,3: 229.57,4: 222.89,5: 213.40,6: 205.66
Time: 3/20:41:35 Arduino 0: 0: 252.42,1: 245.39,2: 238.36,3: 230.63,4: 221.48,5: 214.80,6: 205.31
Time: 3/20:41:35 Arduino 0: 0: 252.42,1: 245.74,2: 237.30,3: 230.27,4: 222.89,5: 213.05,6: 206.72
Time: 3/20:41:35 Arduino 0: 0: 252.42,1: 245.04,2: 238.36,3: 229.92,4: 221.48,5: 214.45,6: 204.61
Time: 3/20:41:35 Arduino 0: 0: 252.42,1: 245.74,2: 237.30,3: 230.63,4: 221.84,5: 213.05,6: 206.72
Time: 3/20:41:35 Arduino 0: 0: 252.42,1: 245.39,2: 238.36,3: 229.22,4: 222.19,5: 214.10,6: 204.96
Time: 3/20:41:36 Arduino 0: 0: 252.07,1: 245.39,2: 237.30,3: 230.63,4: 221.13,5: 213.40,6: 206.02
Time: 3/20:41:36 Arduino 0: 0: 252.07,1: 245.04,2: 238.01,3: 229.22,4: 222.54,5: 213.40,6: 204.96
Time: 3/20:41:36 Arduino 0: 0: 252.07,1: 244.69,2: 237.66,3: 230.27,4: 221.13,5: 214.10,6: 205.31
Time: 3/20:41:36 Arduino 0: 0: 252.77,1: 246.09,2: 237.66,3: 229.92,4: 222.54,5: 213.05,6: 206.02
Time: 3/20:41:36 Arduino 0: 0: 252.77,1: 245.04,2: 238.36,3: 229.92,4: 221.13,5: 214.45,6: 204.61
Time: 3/20:41:36 Arduino 0: 0: 252.77,1: 245.74,2: 236.95,3: 230.63,4: 222.19,5: 213.05,6: 206.37
Time: 3/20:41:36 Arduino 0: 0: 252.42,1: 245.04,2: 238.36,3: 229.57,4: 221.84,5: 214.10,6: 204.61
Time: 3/20:41:36 Arduino 0: 0: 252.77,1: 245.74,2: 237.30,3: 230.63,4: 221.48,5: 213.05,6: 206.37
Time: 3/20:41:36 Arduino 0: 0: 252.07,1: 245.04,2: 238.01,3: 229.22,4: 222.54,5: 213.75,6: 204.96
Time: 3/20:41:36 Arduino 0: 0: 252.07,1: 245.39,2: 237.66,3: 230.63,4: 221.13,5: 214.10,6: 205.66
Time: 3/20:41:36 Arduino 0: 0: 252.42,1: 245.74,2: 237.30,3: 229.57,4: 222.54,5: 212.70,6: 205.66
Time: 3/20:41:36 Arduino 0: 0: 252.42,1: 245.04,2: 238.36,3: 230.63,4: 221.48,5: 214.45,6: 204.96
Time: 3/20:41:36 Arduino 0: 0: 252.42,1: 245.74,2: 237.30,3: 230.27,4: 222.19,5: 212.70,6: 206.37
Time: 3/20:41:36 Arduino 0: 0: 252.07,1: 245.04,2: 238.36,3: 229.57,4: 221.48,5: 214.45,6: 204.61
Time: 3/20:41:37 Arduino 0: 0: 252.42,1: 245.74,2: 237.30,3: 230.63,4: 221.84,5: 212.70,6: 206.37
Time: 3/20:41:37 Arduino 0: 0: 252.42,1: 245.04,2: 238.36,3: 229.22,4: 222.19,5: 213.75,6: 204.61
Time: 3/20:41:37 Arduino 0: 0: 252.42,1: 245.04,2: 237.30,3: 230.63,4: 221.13,5: 213.40,6: 206.02
Time: 3/20:41:37 Arduino 0: 0: 252.42,1: 245.39,2: 238.01,3: 229.22,4: 222.54,5: 213.05,6: 205.31
Time: 3/20:41:37 Arduino 0: 0: 252.42,1: 245.04,2: 237.66,3: 230.27,4: 220.78,5: 214.10,6: 204.96
Time: 3/20:41:37 Arduino 0: 0: 253.13,1: 245.74,2: 237.30,3: 229.92,4: 222.54,5: 213.05,6: 206.02
Time: 3/20:41:37 Arduino 0: 0: 252.07,1: 245.04,2: 238.36,3: 229.92,4: 221.48,5: 214.45,6: 204.26
Time: 3/20:41:37 Arduino 0: 0: 252.07,1: 245.74,2: 236.95,3: 230.27,4: 222.19,5: 212.70,6: 206.37
Time: 3/20:41:37 Arduino 0: 0: 252.42,1: 245.04,2: 238.36,3: 229.22,4: 221.84,5: 214.10,6: 204.61
Time: 3/20:41:37 Arduino 0: 0: 252.42,1: 245.39,2: 237.30,3: 230.63,4: 221.13,5: 213.05,6: 206.37
Time: 3/20:41:37 Arduino 0: 0: 252.42,1: 245.39,2: 238.01,3: 229.22,4: 222.54,5: 213.40,6: 204.96
Time: 3/20:41:37 Arduino 0: 0: 252.07,1: 245.04,2: 237.30,3: 230.63,4: 221.13,5: 213.75,6: 205.31
Time: 3/20:41:37 Arduino 0: 0: 252.42,1: 245.74,2: 237.30,3: 229.57,4: 222.54,5: 213.05,6: 205.66
Time: 3/20:41:38 Arduino 0: 0: 252.42,1: 245.04,2: 238.36,3: 230.27,4: 221.13,5: 214.10,6: 204.61
Time: 3/20:41:38 Arduino 0: 0: 252.07,1: 245.74,2: 237.30,3: 230.27,4: 222.19,5: 212.70,6: 206.37
Time: 3/20:41:38 Arduino 0: 0: 252.42,1: 245.04,2: 238.36,3: 229.57,4: 221.48,5: 214.10,6: 204.26
Time: 3/20:41:38 Arduino 0: 0: 252.07,1: 245.39,2: 236.95,3: 230.63,4: 221.48,5: 213.05,6: 206.37
Time: 3/20:41:38 Arduino 0: 0: 252.07,1: 245.39,2: 238.36,3: 229.22,4: 222.54,5: 213.75,6: 204.61
Time: 3/20:41:38 Arduino 0: 0: 252.42,1: 245.04,2: 237.30,3: 230.63,4: 221.13,5: 213.40,6: 205.66
Time: 3/20:41:38 Arduino 0: 0: 251.72,1: 245.39,2: 237.66,3: 229.22,4: 222.54,5: 212.70,6: 205.31
Time: 3/20:41:38 Arduino 0: 0: 252.42,1: 245.04,2: 238.01,3: 230.27,4: 221.13,5: 214.10,6: 204.96
Time: 3/20:41:38 Arduino 0: 0: 252.07,1: 245.74,2: 236.95,3: 229.92,4: 222.54,5: 212.70,6: 206.02
Time: 3/20:41:38 Arduino 0: 0: 252.42,1: 244.69,2: 238.01,3: 229.57,4: 221.13,5: 214.10,6: 204.26
Time: 3/20:41:38 Arduino 0: 0: 252.42,1: 245.74,2: 236.95,3: 230.27,4: 221.84,5: 212.70,6: 206.37
Time: 3/20:41:38 Arduino 0: 0: 252.42,1: 245.39,2: 238.36,3: 229.22,4: 221.84,5: 213.75,6: 204.26
Time: 3/20:41:38 Arduino 0: 0: 252.07,1: 245.39,2: 237.30,3: 230.63,4: 221.13,5: 213.40,6: 206.02
Time: 3/20:41:38 Arduino 0: 0: 252.42,1: 245.39,2: 238.01,3: 229.22,4: 222.54,5: 213.05,6: 204.96
Time: 3/20:41:39 Arduino 0: 0: 252.07,1: 244.69,2: 237.66,3: 230.63,4: 220.78,5: 214.10,6: 205.31
Time: 3/20:41:39 Arduino 0: 0: 252.07,1: 245.74,2: 237.30,3: 229.57,4: 222.54,5: 212.70,6: 205.66
Time: 3/20:41:39 Arduino 0: 0: 252.77,1: 245.04,2: 238.36,3: 229.92,4: 221.13,5: 214.10,6: 204.61
Time: 3/20:41:39 Arduino 0: 0: 252.77,1: 245.74,2: 236.95,3: 230.27,4: 222.19,5: 212.70,6: 206.37
Time: 3/20:41:39 Arduino 0: 0: 252.07,1: 245.04,2: 238.36,3: 229.22,4: 221.84,5: 214.10,6: 204.26
Time: 3/20:41:39 Arduino 0: 0: 251.72,1: 245.39,2: 237.30,3: 230.27,4: 221.48,5: 213.05,6: 206.02
Time: 3/20:41:39 Arduino 0: 0: 252.42,1: 245.39,2: 238.01,3: 229.22,4: 222.54,5: 213.40,6: 204.61
Time: 3/20:41:39 Arduino 0: 0: 252.42,1: 245.04,2: 237.66,3: 230.63,4: 220.78,5: 213.75,6: 205.66
Time: 3/20:41:39 Arduino 0: 0: 252.42,1: 245.39,2: 237.30,3: 229.22,4: 222.54,5: 212.70,6: 205.31
Time: 3/20:41:39 Arduino 0: 0: 252.42,1: 245.04,2: 238.01,3: 229.92,4: 221.13,5: 214.10,6: 204.61
Time: 3/20:41:39 Arduino 0: 0: 252.42,1: 246.09,2: 236.95,3: 229.92,4: 222.19,5: 212.70,6: 206.02
Time: 3/20:41:39 Arduino 0: 0: 252.42,1: 244.69,2: 238.01,3: 229.22,4: 221.13,5: 214.10,6: 204.26
Time: 3/20:41:39 Arduino 0: 0: 252.42,1: 245.74,2: 236.95,3: 230.27,4: 221.48,5: 212.70,6: 206.02
Time: 3/20:41:40 Arduino 0: 0: 252.07,1: 245.04,2: 238.01,3: 229.22,4: 222.19,5: 213.75,6: 204.26
Time: 3/20:41:40 Arduino 0: 0: 252.07,1: 245.04,2: 237.30,3: 230.63,4: 220.78,5: 213.40,6: 205.66
Time: 3/20:41:40 Arduino 0: 0: 252.42,1: 245.39,2: 237.66,3: 229.22,4: 222.19,5: 213.05,6: 204.96
Time: 3/20:41:40 Arduino 0: 0: 252.07,1: 244.69,2: 237.66,3: 230.27,4: 220.78,5: 214.10,6: 204.96
Time: 3/20:41:40 Arduino 0: 0: 252.42,1: 245.74,2: 236.95,3: 229.57,4: 222.19,5: 212.70,6: 206.02
Time: 3/20:41:40 Arduino 0: 0: 252.77,1: 245.04,2: 238.36,3: 229.92,4: 221.13,5: 214.10,6: 204.26
Time: 3/20:41:40 Arduino 0: 0: 252.77,1: 245.74,2: 236.95,3: 230.27,4: 221.84,5: 212.70,6: 206.02
Time: 3/20:41:40 Arduino 0: 0: 252.07,1: 245.04,2: 238.36,3: 229.22,4: 221.84,5: 213.75,6: 204.26
Time: 3/20:41:40 Arduino 0: 0: 252.07,1: 245.39,2: 236.95,3: 230.27,4: 221.13,5: 213.05,6: 206.02
Time: 3/20:41:40 Arduino 0: 0: 252.42,1: 245.04,2: 238.01,3: 229.22,4: 222.54,5: 213.40,6: 204.96
Time: 3/20:41:40 Arduino 0: 0: 252.42,1: 244.69,2: 237.30,3: 230.27,4: 220.78,5: 213.75,6: 205.31
Time: 3/20:41:40 Arduino 0: 0: 252.42,1: 245.74,2: 237.30,3: 229.57,4: 222.19,5: 212.70,6: 205.66
Time: 3/20:41:40 Arduino 0: 0: 252.42,1: 244.69,2: 238.36,3: 229.92,4: 221.13,5: 214.10,6: 204.61
Time: 3/20:41:40 Arduino 0: 0: 252.77,1: 245.39,2: 236.95,3: 229.92,4: 222.19,5: 212.70,6: 206.02
Time: 3/20:41:41 Arduino 0: 0: 252.07,1: 245.04,2: 238.36,3: 229.22,4: 221.48,5: 214.10,6: 204.26
Time: 3/20:41:41 Arduino 0: 0: 252.07,1: 245.74,2: 236.95,3: 230.63,4: 221.48,5: 213.05,6: 206.02
Time: 3/20:41:41 Arduino 0: 0: 252.07,1: 245.04,2: 238.01,3: 229.22,4: 222.19,5: 213.40,6: 204.61
Time: 3/20:41:41 Arduino 0: 0: 252.07,1: 245.04,2: 237.30,3: 230.27,4: 220.78,5: 213.40,6: 205.66
Time: 3/20:41:41 Arduino 0: 0: 252.07,1: 245.74,2: 237.66,3: 229.22,4: 222.19,5: 212.70,6: 205.31
Time: 3/20:41:41 Arduino 0: 0: 252.42,1: 245.04,2: 238.01,3: 230.27,4: 220.78,5: 214.10,6: 204.61
Time: 3/20:41:41 Arduino 0: 0: 252.07,1: 245.39,2: 236.95,3: 229.92,4: 222.19,5: 212.70,6: 206.02
Time: 3/20:41:41 Arduino 0: 0: 252.42,1: 245.04,2: 238.36,3: 229.22,4: 221.13,5: 214.10,6: 204.26
Time: 3/20:41:41 Arduino 0: 0: 252.42,1: 245.74,2: 236.95,3: 230.27,4: 221.84,5: 212.70,6: 206.02
Time: 3/20:41:41 Arduino 0: 0: 252.42,1: 245.04,2: 238.01,3: 229.22,4: 222.19,5: 213.75,6: 204.26
Time: 3/20:41:41 Arduino 0: 0: 252.07,1: 244.69,2: 236.95,3: 230.27,4: 220.78,5: 213.05,6: 205.66
Time: 3/20:41:41 Arduino 0: 0: 251.72,1: 245.74,2: 238.01,3: 228.87,4: 222.19,5: 213.05,6: 204.61
Time: 3/20:41:41 Arduino 0: 0: 252.77,1: 245.04,2: 237.66,3: 230.27,4: 220.78,5: 213.75,6: 204.96
Time: 3/20:41:42 Arduino 0: 0: 252.77,1: 245.39,2: 236.95,3: 229.57,4: 222.19,5: 212.70,6: 205.66
Time: 3/20:41:42 Arduino 0: 0: 252.77,1: 244.69,2: 238.01,3: 229.57,4: 221.13,5: 214.10,6: 204.26
Time: 3/20:41:42 Arduino 0: 0: 252.42,1: 245.74,2: 236.95,3: 229.92,4: 221.84,5: 212.70,6: 206.02
