Time: 3/20:45:47 Arduino 0: 
Time: 3/20:45:47 Arduino 0: 0: 287.93,1: 254.88,2: 234.49,3: 217.97,4: 203.55,5: 192.30,6: 184.22
Time: 3/20:45:47 Arduino 0: 0: 287.93,1: 271.41,2: 254.88,3: 238.01,4: 220.08,5: 206.37,6: 192.66
Time: 3/20:45:47 Arduino 0: 0: 287.58,1: 271.05,2: 255.59,3: 242.23,4: 227.11,5: 211.29,6: 200.74
Time: 3/20:45:47 Arduino 0: 0: 287.23,1: 272.46,2: 259.80,3: 244.69,4: 230.63,5: 217.27,6: 203.55
Time: 3/20:45:47 Arduino 0: 0: 278.44,1: 266.48,2: 254.53,3: 244.34,4: 230.63,5: 217.62,6: 207.42
Time: 3/20:45:47 Arduino 0: 0: 256.99,1: 250.66,2: 245.04,3: 235.90,4: 227.46,5: 216.56,6: 205.31
Time: 3/20:45:47 Arduino 0: 0: 251.37,1: 246.80,2: 239.77,3: 233.44,4: 223.59,5: 215.16,6: 206.02
Time: 3/20:45:47 Arduino 0: 0: 252.07,1: 246.09,2: 238.36,3: 230.63,4: 223.59,5: 213.05,6: 204.96
Time: 3/20:45:47 Arduino 0: 0: 251.37,1: 245.04,2: 238.36,3: 230.98,4: 221.48,5: 214.10,6: 204.26
Time: 3/20:45:47 Arduino 0: 0: 252.07,1: 245.39,2: 236.95,3: 229.92,4: 222.54,5: 212.34,6: 205.31
Time: 3/20:45:47 Arduino 0: 0: 251.72,1: 245.04,2: 238.36,3: 229.57,4: 221.13,5: 213.75,6: 203.55
Time: 3/20:45:48 Arduino 0: 0: 251.72,1: 245.74,2: 236.95,3: 230.63,4: 221.84,5: 212.34,6: 205.31
Time: 3/20:45:48 Arduino 0: 0: 251.72,1: 244.69,2: 238.36,3: 229.22,4: 221.84,5: 213.40,6: 203.55
Time: 3/20:45:48 Arduino 0: 0: 251.72,1: 245.39,2: 237.30,3: 230.63,4: 221.13,5: 212.70,6: 205.31
Time: 3/20:45:48 Arduino 0: 0: 252.07,1: 245.39,2: 238.01,3: 229.22,4: 222.54,5: 213.05,6: 204.26
Time: 3/20:45:48 Arduino 0: 0: 252.77,1: 246.09,2: 238.71,3: 231.33,4: 221.48,5: 214.10,6: 205.31
Time: 3/20:45:48 Arduino 0: 0: 255.94,1: 248.91,2: 240.12,3: 231.68,4: 223.95,5: 213.75,6: 206.02
Time: 3/20:45:48 Arduino 0: 0: 258.40,1: 250.66,2: 242.58,3: 233.44,4: 223.59,5: 216.21,6: 205.66
Time: 3/20:45:48 Arduino 0: 0: 261.56,1: 254.18,2: 243.63,3: 235.55,4: 226.41,5: 215.51,6: 208.48
Time: 3/20:45:48 Arduino 0: 0: 264.38,1: 255.59,2: 247.15,3: 236.60,4: 227.11,5: 218.67,6: 207.42
Time: 3/20:45:48 Arduino 0: 0: 267.19,1: 258.75,2: 247.85,3: 239.77,4: 228.87,5: 218.67,6: 210.59
Time: 3/20:45:48 Arduino 0: 0: 270.00,1: 260.86,2: 251.37,3: 240.12,4: 231.33,5: 221.13,6: 210.23
Time: 3/20:45:48 Arduino 0: 0: 272.81,1: 263.32,2: 252.77,3: 243.63,4: 231.68,5: 222.19,6: 212.70
Time: 3/20:45:48 Arduino 0: 0: 275.63,1: 265.78,2: 255.23,3: 243.98,4: 234.84,5: 223.24,6: 213.40
Time: 3/20:45:48 Arduino 0: 0: 277.73,1: 267.54,2: 256.99,3: 246.80,4: 234.84,5: 225.70,6: 214.45
Time: 3/20:45:49 Arduino 0: 0: 280.55,1: 270.70,2: 258.75,3: 248.20,4: 238.36,5: 226.05,6: 216.91
Time: 3/20:45:49 Arduino 0: 0: 283.36,1: 272.81,2: 261.91,3: 250.31,4: 238.71,5: 229.22,6: 216.56
Time: 3/20:45:49 Arduino 0: 0: 286.17,1: 275.27,2: 262.62,3: 252.77,4: 241.17,5: 229.22,6: 220.08
Time: 3/20:45:49 Arduino 0: 0: 287.58,1: 276.68,2: 265.78,3: 253.13,4: 242.58,5: 232.03,6: 219.38
Time: 3/20:45:49 Arduino 0: 0: 288.28,1: 277.73,2: 265.43,3: 255.59,4: 242.93,5: 232.03,6: 222.19
Time: 3/20:45:49 Arduino 0: 0: 287.93,1: 277.73,2: 266.84,3: 254.88,4: 245.04,5: 233.44,6: 221.84
Time: 3/20:45:49 Arduino 0: 0: 287.23,1: 277.38,2: 266.13,3: 256.64,4: 243.98,5: 234.49,6: 223.24
Time: 3/20:45:49 Arduino 0: 0: 287.23,1: 278.09,2: 266.48,3: 255.59,4: 245.74,5: 233.79,6: 223.95
Time: 3/20:45:49 Arduino 0: 0: 287.58,1: 277.38,2: 266.84,3: 256.29,4: 244.69,5: 235.55,6: 223.59
Time: 3/20:45:49 Arduino 0: 0: 279.49,1: 270.35,2: 260.51,3: 252.42,4: 243.28,5: 232.38,6: 223.95
Time: 3/20:45:49 Arduino 0: 0: 256.64,1: 253.48,2: 249.96,3: 243.28,4: 236.25,5: 229.57,6: 219.02
Time: 3/20:45:49 Arduino 0: 0: 252.07,1: 248.91,2: 242.93,3: 239.06,4: 232.38,5: 224.65,6: 218.32
Time: 3/20:45:49 Arduino 0: 0: 251.37,1: 247.15,2: 242.23,3: 235.20,4: 229.92,5: 223.24,6: 214.45
Time: 3/20:45:50 Arduino 0: 0: 251.72,1: 246.45,2: 240.12,3: 235.20,4: 227.11,5: 220.78,6: 214.10
Time: 3/20:45:50 Arduino 0: 0: 251.37,1: 246.80,2: 240.12,3: 232.73,4: 227.46,5: 219.38,6: 211.99
Time: 3/20:45:50 Arduino 0: 0: 252.07,1: 245.74,2: 239.41,3: 233.44,4: 225.35,5: 219.38,6: 211.29
Time: 3/20:45:50 Arduino 0: 0: 251.72,1: 246.09,2: 238.71,3: 232.03,4: 226.05,5: 217.27,6: 210.94
Time: 3/20:45:50 Arduino 0: 0: 252.07,1: 245.39,2: 239.41,3: 232.03,4: 224.30,5: 218.32,6: 209.18
Time: 3/20:45:50 Arduino 0: 0: 251.72,1: 246.09,2: 238.36,3: 232.03,4: 225.00,5: 216.21,6: 210.23
Time: 3/20:45:50 Arduino 0: 0: 251.72,1: 245.39,2: 239.41,3: 230.98,4: 224.30,5: 217.27,6: 208.13
Time: 3/20:45:50 Arduino 0: 0: 252.77,1: 246.80,2: 238.71,3: 232.73,4: 223.95,5: 216.56,6: 209.88
Time: 3/20:45:50 Arduino 0: 0: 255.94,1: 249.26,2: 241.52,3: 232.38,4: 226.05,5: 217.27,6: 208.48
Time: 3/20:45:50 Arduino 0: 0: 258.75,1: 251.02,2: 242.58,3: 235.20,4: 225.35,5: 218.32,6: 209.88
Time: 3/20:45:50 Arduino 0: 0: 261.56,1: 253.83,2: 244.69,3: 235.55,4: 228.16,5: 217.97,6: 210.23
Time: 3/20:45:50 Arduino 0: 0: 264.73,1: 255.23,2: 247.15,3: 238.36,4: 228.16,5: 220.78,6: 210.59
Time: 3/20:45:50 Arduino 0: 0: 266.48,1: 258.75,2: 248.20,3: 239.77,4: 230.98,5: 220.43,6: 213.05
Time: 3/20:45:50 Arduino 0: 0: 269.65,1: 260.86,2: 251.72,3: 241.52,4: 231.68,5: 223.24,6: 212.34
Time: 3/20:45:51 Arduino 0: 0: 272.81,1: 264.38,2: 252.77,3: 244.34,4: 233.79,5: 223.24,6: 215.51
Time: 3/20:45:51 Arduino 0: 0: 275.27,1: 266.48,2: 256.29,3: 245.04,4: 235.90,5: 225.70,6: 214.80
Time: 3/20:45:51 Arduino 0: 0: 277.73,1: 268.24,2: 256.99,3: 247.85,4: 236.25,5: 226.76,6: 217.62
Time: 3/20:45:51 Arduino 0: 0: 280.20,1: 270.70,2: 259.80,3: 248.55,4: 239.41,5: 227.81,6: 217.62
Time: 3/20:45:51 Arduino 0: 0: 283.36,1: 272.46,2: 261.56,3: 251.37,4: 239.41,5: 230.27,6: 219.38
Time: 3/20:45:51 Arduino 0: 0: 286.52,1: 275.63,2: 263.32,3: 252.42,4: 242.58,5: 230.27,6: 221.13
Time: 3/20:45:51 Arduino 0: 0: 288.28,1: 277.03,2: 266.13,3: 254.53,4: 242.58,5: 233.09,6: 220.78
Time: 3/20:45:51 Arduino 0: 0: 288.63,1: 278.09,2: 265.43,3: 255.59,4: 244.69,5: 232.73,6: 223.59
Time: 3/20:45:51 Arduino 0: 0: 287.93,1: 277.03,2: 266.84,3: 255.23,4: 244.69,5: 234.84,6: 222.54
Time: 3/20:45:51 Arduino 0: 0: 287.23,1: 277.73,2: 265.78,3: 256.64,4: 245.04,5: 234.49,6: 225.00
Time: 3/20:45:51 Arduino 0: 0: 287.23,1: 277.38,2: 266.84,3: 255.59,4: 246.45,5: 235.20,6: 223.95
Time: 3/20:45:51 Arduino 0: 0: 287.58,1: 277.38,2: 266.13,3: 256.99,4: 245.04,5: 235.90,6: 225.35
Time: 3/20:45:51 Arduino 0: 0: 280.55,1: 271.41,2: 261.91,3: 252.77,4: 244.34,5: 233.44,6: 223.95
Time: 3/20:45:51 Arduino 0: 0: 257.34,1: 254.18,2: 250.31,3: 244.69,4: 236.60,5: 230.27,6: 220.43
Time: 3/20:45:52 Arduino 0: 0: 252.07,1: 249.26,2: 243.28,3: 239.06,4: 233.44,5: 225.35,6: 219.38
Time: 3/20:45:52 Arduino 0: 0: 251.72,1: 247.15,2: 242.23,3: 235.90,4: 229.92,5: 224.30,6: 215.16
Time: 3/20:45:52 Arduino 0: 0: 251.72,1: 246.80,2: 239.77,3: 235.20,4: 228.52,5: 220.78,6: 215.16
Time: 3/20:45:52 Arduino 0: 0: 251.37,1: 246.09,2: 240.47,3: 233.09,4: 227.46,5: 220.78,6: 211.99
Time: 3/20:45:52 Arduino 0: 0: 251.72,1: 246.09,2: 239.06,3: 233.79,4: 225.70,5: 219.02,6: 212.70
Time: 3/20:45:52 Arduino 0: 0: 251.72,1: 245.74,2: 239.41,3: 232.03,4: 226.41,5: 218.32,6: 210.94
Time: 3/20:45:52 Arduino 0: 0: 251.72,1: 245.74,2: 239.06,3: 232.73,4: 224.65,5: 218.67,6: 210.59
Time: 3/20:45:52 Arduino 0: 0: 252.07,1: 246.45,2: 238.36,3: 231.68,4: 225.70,5: 216.56,6: 210.59
Time: 3/20:45:52 Arduino 0: 0: 251.72,1: 245.04,2: 239.41,3: 232.03,4: 223.95,5: 217.97,6: 208.83
Time: 3/20:45:52 Arduino 0: 0: 253.13,1: 246.80,2: 238.71,3: 232.38,4: 225.35,5: 216.21,6: 210.59
Time: 3/20:45:52 Arduino 0: 0: 255.94,1: 248.91,2: 241.88,3: 232.73,4: 225.35,5: 218.32,6: 208.83
Time: 3/20:45:52 Arduino 0: 0: 259.10,1: 251.37,2: 242.23,3: 235.20,4: 226.05,5: 217.97,6: 210.94
Time: 3/20:45:52 Arduino 0: 0: 261.91,1: 253.13,2: 245.39,3: 235.55,4: 228.16,5: 219.38,6: 210.23
Time: 3/20:45:53 Arduino 0: 0: 264.02,1: 255.59,2: 246.45,3: 238.71,4: 228.16,5: 220.43,6: 211.99
Time: 3/20:45:53 Arduino 0: 0: 267.19,1: 258.40,2: 248.91,3: 239.06,4: 230.98,5: 220.43,6: 212.34
Time: 3/20:45:53 Arduino 0: 0: 270.00,1: 260.51,2: 251.37,3: 241.88,4: 230.98,5: 223.24,6: 213.05
Time: 3/20:45:53 Arduino 0: 0: 272.46,1: 263.67,2: 252.42,3: 243.63,4: 234.14,5: 223.24,6: 215.51
Time: 3/20:45:53 Arduino 0: 0: 274.92,1: 265.43,2: 255.94,3: 245.04,4: 234.84,5: 226.05,6: 214.80
Time: 3/20:45:53 Arduino 0: 0: 278.09,1: 268.59,2: 256.64,3: 247.85,4: 236.95,5: 226.05,6: 217.97
Time: 3/20:45:53 Arduino 0: 0: 280.90,1: 270.35,2: 259.80,3: 248.55,4: 238.71,5: 228.52,6: 217.27
Time: 3/20:45:53 Arduino 0: 0: 283.01,1: 273.16,2: 260.86,3: 251.72,4: 239.41,5: 229.22,6: 220.08
Time: 3/20:45:53 Arduino 0: 0: 286.52,1: 275.98,2: 264.02,3: 252.42,4: 242.58,5: 230.98,6: 220.43
Time: 3/20:45:53 Arduino 0: 0: 287.93,1: 277.03,2: 265.43,3: 255.23,4: 242.58,5: 233.09,6: 222.19
Time: 3/20:45:53 Arduino 0: 0: 287.93,1: 277.73,2: 265.78,3: 254.88,4: 245.04,5: 232.73,6: 223.59
Time: 3/20:45:53 Arduino 0: 0: 287.93,1: 277.03,2: 267.19,3: 255.94,4: 244.34,5: 235.20,6: 222.89
Time: 3/20:45:53 Arduino 0: 0: 287.93,1: 278.44,2: 266.13,3: 256.29,4: 245.74,5: 234.14,6: 225.35
Time: 3/20:45:53 Arduino 0: 0: 287.58,1: 277.38,2: 267.19,3: 255.59,4: 245.39,5: 235.90,6: 223.95
Time: 3/20:45:54 Arduino 0: 0: 287.58,1: 277.38,2: 265.78,3: 256.99,4: 245.74,5: 235.20,6: 226.05
