Time: 3/20:56:31 Arduino 0:  276.68,2: 266.48,3: 256.64,4: 245.04,5: 235.55,6: 224.65
Time: 3/20:56:31 Arduino 0: 0: 73,2: 266.48,3: 255.59,4: 245.74,5: 234.14,6: 224.30
Time: 3/20:56:31 Arduino 0: 0: 287.23,1: 276.68,2: 266.48,3: 256.64,4: 245.04,5: 235.55,6: 224.65
Time: 3/20:56:32 Arduino 0: 0: 
Time: 3/20:56:32 Arduino 0: 0: 254.88,1: 235.20,2: 222.19,3: 210.94,4: 200.04,5: 190.90,6: 183.87
Time: 3/20:56:32 Arduino 0: 0: 254.88,1: 245.39,2: 234.49,3: 222.19,4: 211.29,5: 200.04,6: 189.84
Time: 3/20:56:32 Arduino 0: 0: 257.70,1: 246.45,2: 236.25,3: 226.41,4: 214.10,5: 203.55,6: 194.77
Time: 3/20:56:32 Arduino 0: 0: 260.51,1: 250.66,2: 240.12,3: 228.87,4: 218.67,5: 206.37,6: 196.88
Time: 3/20:56:32 Arduino 0: 0: 264.02,1: 252.77,2: 242.58,3: 232.73,4: 220.78,5: 210.59,6: 200.39
Time: 3/20:56:33 Arduino 0: 0: 266.48,1: 256.64,2: 245.39,3: 234.84,4: 223.95,5: 211.29,6: 201.09
Time: 3/20:56:33 Arduino 0: 0: 269.30,1: 258.05,2: 247.50,3: 236.60,4: 226.05,5: 215.86,6: 205.31
Time: 3/20:56:33 Arduino 0: 0: 271.76,1: 262.62,2: 251.02,3: 240.82,4: 229.92,5: 217.97,6: 208.13
Time: 3/20:56:33 Arduino 0: 0: 274.92,1: 264.73,2: 254.18,3: 242.58,4: 231.68,5: 220.78,6: 209.18
Time: 3/20:56:33 Arduino 0: 0: 277.38,1: 267.19,2: 255.59,3: 245.39,4: 233.44,5: 222.19,6: 211.99
Time: 3/20:56:33 Arduino 0: 0: 279.84,1: 269.65,2: 258.40,3: 246.80,4: 235.90,5: 224.30,6: 213.40
Time: 3/20:56:33 Arduino 0: 0: 282.30,1: 271.76,2: 260.16,3: 249.26,4: 236.95,5: 226.05,6: 215.51
Time: 3/20:56:33 Arduino 0: 0: 285.47,1: 274.92,2: 262.62,3: 251.02,4: 239.77,5: 227.46,6: 216.91
Time: 3/20:56:33 Arduino 0: 0: 288.28,1: 275.98,2: 264.38,3: 253.13,4: 240.82,5: 229.92,6: 217.97
Time: 3/20:56:33 Arduino 0: 0: 287.93,1: 277.38,2: 264.73,3: 253.83,4: 242.93,5: 230.63,6: 219.73
Time: 3/20:56:33 Arduino 0: 0: 287.58,1: 276.68,2: 265.78,3: 254.53,4: 243.28,5: 232.38,6: 220.08
Time: 3/20:56:33 Arduino 0: 0: 287.23,1: 277.38,2: 265.43,3: 255.23,4: 243.98,5: 232.73,6: 222.19
Time: 3/20:56:33 Arduino 0: 0: 286.88,1: 277.03,2: 266.48,3: 254.88,4: 244.34,5: 233.79,6: 221.84
Time: 3/20:56:33 Arduino 0: 0: 284.77,1: 274.92,2: 264.02,3: 254.53,4: 243.28,5: 233.09,6: 222.54
Time: 3/20:56:34 Arduino 0: 0: 265.08,1: 259.45,2: 253.48,3: 246.09,4: 238.71,5: 229.22,6: 219.73
Time: 3/20:56:34 Arduino 0: 0: 252.07,1: 249.61,2: 245.04,3: 240.47,4: 232.73,5: 226.05,6: 217.62
Time: 3/20:56:34 Arduino 0: 0: 251.37,1: 247.50,2: 241.52,3: 236.25,4: 230.27,5: 222.54,6: 215.16
Time: 3/20:56:34 Arduino 0: 0: 251.37,1: 246.45,2: 240.82,3: 234.49,4: 227.81,5: 221.48,6: 212.70
Time: 3/20:56:34 Arduino 0: 0: 251.02,1: 246.09,2: 239.06,3: 233.44,4: 227.11,5: 219.02,6: 212.34
Time: 3/20:56:34 Arduino 0: 0: 251.72,1: 245.39,2: 239.41,3: 232.38,4: 225.70,5: 219.02,6: 210.23
Time: 3/20:56:34 Arduino 0: 0: 251.72,1: 245.74,2: 238.71,3: 232.38,4: 225.00,5: 217.62,6: 210.59
Time: 3/20:56:34 Arduino 0: 0: 251.37,1: 245.74,2: 239.06,3: 231.33,4: 225.00,5: 217.27,6: 209.18
Time: 3/20:56:34 Arduino 0: 0: 251.72,1: 245.39,2: 238.36,3: 232.03,4: 223.95,5: 216.91,6: 209.53
Time: 3/20:56:34 Arduino 0: 0: 251.37,1: 245.39,2: 238.36,3: 231.33,4: 224.30,5: 215.86,6: 208.48
Time: 3/20:56:34 Arduino 0: 0: 251.37,1: 244.69,2: 238.36,3: 231.33,4: 223.24,5: 216.21,6: 207.77
Time: 3/20:56:34 Arduino 0: 0: 251.72,1: 245.39,2: 237.66,3: 230.98,4: 223.95,5: 215.16,6: 208.13
Time: 3/20:56:34 Arduino 0: 0: 251.72,1: 245.04,2: 238.36,3: 230.63,4: 223.24,5: 215.86,6: 207.07
Time: 3/20:56:35 Arduino 0: 0: 252.07,1: 246.09,2: 238.01,3: 231.33,4: 223.59,5: 215.51,6: 208.13
Time: 3/20:56:35 Arduino 0: 0: 254.88,1: 247.85,2: 240.47,3: 231.68,4: 224.30,5: 216.56,6: 207.77
Time: 3/20:56:35 Arduino 0: 0: 257.70,1: 250.31,2: 241.88,3: 234.14,4: 225.00,5: 216.91,6: 209.18
Time: 3/20:56:35 Arduino 0: 0: 260.51,1: 253.13,2: 244.34,3: 235.20,4: 226.76,5: 217.62,6: 209.18
Time: 3/20:56:35 Arduino 0: 0: 264.02,1: 255.23,2: 246.09,3: 237.66,4: 227.81,5: 219.02,6: 210.23
Time: 3/20:56:35 Arduino 0: 0: 266.84,1: 258.05,2: 248.20,3: 239.06,4: 230.27,5: 219.73,6: 211.29
Time: 3/20:56:35 Arduino 0: 0: 269.65,1: 260.51,2: 251.02,3: 241.17,4: 230.98,5: 222.19,6: 211.99
Time: 3/20:56:35 Arduino 0: 0: 272.46,1: 262.97,2: 252.07,3: 242.93,4: 233.09,5: 222.54,6: 213.75
Time: 3/20:56:35 Arduino 0: 0: 274.57,1: 265.08,2: 255.23,3: 244.34,4: 234.49,5: 225.00,6: 214.10
Time: 3/20:56:35 Arduino 0: 0: 277.73,1: 267.89,2: 256.64,3: 246.80,4: 235.90,5: 225.70,6: 216.56
Time: 3/20:56:35 Arduino 0: 0: 279.84,1: 270.00,2: 259.10,3: 248.20,4: 238.01,5: 227.46,6: 216.91
Time: 3/20:56:35 Arduino 0: 0: 282.66,1: 271.76,2: 260.86,3: 250.66,4: 239.06,5: 228.87,6: 219.02
Time: 3/20:56:35 Arduino 0: 0: 285.47,1: 274.92,2: 263.32,3: 252.07,4: 241.52,5: 229.92,6: 219.73
Time: 3/20:56:35 Arduino 0: 0: 287.23,1: 276.68,2: 265.08,3: 254.18,4: 242.23,5: 232.03,6: 220.78
Time: 3/20:56:36 Arduino 0: 0: 287.93,1: 277.03,2: 265.08,3: 254.88,4: 243.98,5: 232.38,6: 222.54
Time: 3/20:56:36 Arduino 0: 0: 287.23,1: 277.03,2: 266.13,3: 254.88,4: 244.34,5: 234.14,6: 222.54
Time: 3/20:56:36 Arduino 0: 0: 286.88,1: 277.38,2: 265.43,3: 255.94,4: 245.04,5: 234.14,6: 223.95
Time: 3/20:56:36 Arduino 0: 0: 286.88,1: 277.73,2: 266.48,3: 255.59,4: 245.39,5: 235.20,6: 223.95
Time: 3/20:56:36 Arduino 0: 0: 284.41,1: 273.87,2: 263.67,3: 254.53,4: 243.63,5: 234.14,6: 224.30
Time: 3/20:56:36 Arduino 0: 0: 262.62,1: 258.40,2: 252.77,3: 245.74,4: 238.71,5: 229.92,6: 221.13
Time: 3/20:56:36 Arduino 0: 0: 251.72,1: 249.26,2: 244.69,3: 240.47,4: 233.44,5: 226.76,6: 218.67
Time: 3/20:56:36 Arduino 0: 0: 251.37,1: 247.50,2: 241.52,3: 236.25,4: 230.63,5: 223.24,6: 216.21
Time: 3/20:56:36 Arduino 0: 0: 251.37,1: 246.09,2: 240.82,3: 234.49,4: 228.16,5: 221.84,6: 213.75
Time: 3/20:56:36 Arduino 0: 0: 251.37,1: 246.09,2: 239.41,3: 233.44,4: 227.46,5: 219.73,6: 213.05
Time: 3/20:56:36 Arduino 0: 0: 251.72,1: 245.74,2: 239.41,3: 232.38,4: 226.05,5: 219.38,6: 211.29
Time: 3/20:56:36 Arduino 0: 0: 251.72,1: 245.39,2: 238.71,3: 232.38,4: 225.00,5: 217.97,6: 211.29
Time: 3/20:56:36 Arduino 0: 0: 251.37,1: 245.39,2: 239.06,3: 231.33,4: 225.00,5: 217.62,6: 209.88
Time: 3/20:56:37 Arduino 0: 0: 251.72,1: 245.39,2: 238.36,3: 232.03,4: 223.95,5: 217.27,6: 209.88
Time: 3/20:56:37 Arduino 0: 0: 251.72,1: 245.39,2: 238.36,3: 231.33,4: 224.65,5: 216.56,6: 209.18
Time: 3/20:56:37 Arduino 0: 0: 251.72,1: 244.69,2: 238.36,3: 231.68,4: 223.59,5: 216.56,6: 208.48
Time: 3/20:56:37 Arduino 0: 0: 251.37,1: 245.39,2: 237.66,3: 230.98,4: 223.95,5: 215.51,6: 208.48
Time: 3/20:56:37 Arduino 0: 0: 251.72,1: 245.04,2: 238.36,3: 230.63,4: 223.24,5: 216.21,6: 207.77
Time: 3/20:56:37 Arduino 0: 0: 252.42,1: 246.45,2: 238.36,3: 231.68,4: 223.59,5: 215.86,6: 208.48
Time: 3/20:56:37 Arduino 0: 0: 255.59,1: 248.55,2: 240.82,3: 232.03,4: 224.65,5: 216.91,6: 208.13
Time: 3/20:56:37 Arduino 0: 0: 258.05,1: 250.66,2: 242.23,3: 234.14,4: 225.00,5: 216.91,6: 209.53
Time: 3/20:56:37 Arduino 0: 0: 260.86,1: 253.13,2: 244.34,3: 235.20,4: 227.11,5: 217.97,6: 209.53
Time: 3/20:56:37 Arduino 0: 0: 264.02,1: 255.23,2: 246.45,3: 237.66,4: 227.81,5: 219.38,6: 210.59
Time: 3/20:56:37 Arduino 0: 0: 266.84,1: 258.05,2: 248.20,3: 239.06,4: 230.27,5: 220.08,6: 211.64
Time: 3/20:56:37 Arduino 0: 0: 269.65,1: 260.16,2: 250.66,3: 241.17,4: 230.98,5: 222.19,6: 211.99
