Time: 18/12:27:57 Arduino 0: 
Time: 18/12:27:57 Arduino 0: 0: 279.14,1: 251.37,2: 233.79,3: 220.78,4: 208.83,5: 200.04,6: 193.71
Time: 18/12:27:57 Arduino 0: 0: 279.14,1: 267.19,2: 253.48,3: 239.77,4: 227.46,5: 215.86,6: 206.37
Time: 18/12:27:57 Arduino 0: 0: 281.25,1: 271.41,2: 261.21,3: 251.37,4: 239.06,5: 228.16,6: 218.67
Time: 18/12:27:57 Arduino 0: 0: 284.41,1: 275.63,2: 266.84,3: 258.05,4: 248.20,5: 236.60,6: 227.46
Time: 18/12:27:57 Arduino 0: 0: 287.93,1: 277.73,2: 270.00,3: 261.91,4: 252.07,5: 242.58,6: 232.73
Time: 18/12:27:57 Arduino 0: 0: 290.04,1: 281.60,2: 272.11,3: 264.38,4: 255.94,5: 245.39,6: 236.95
Time: 18/12:27:57 Arduino 0: 0: 293.20,1: 284.41,2: 275.27,3: 266.84,4: 258.05,5: 248.91,6: 239.06
Time: 18/12:27:57 Arduino 0: 0: 296.37,1: 287.23,2: 277.38,3: 269.30,4: 259.80,5: 249.96,6: 241.17
Time: 18/12:27:57 Arduino 0: 0: 298.83,1: 289.69,2: 280.20,3: 270.35,4: 261.21,5: 252.07,6: 242.23
Time: 18/12:27:57 Arduino 0: 0: 298.83,1: 291.45,2: 281.60,3: 272.81,4: 262.62,5: 253.83,6: 244.69
Time: 18/12:27:58 Arduino 0: 0: 298.83,1: 291.45,2: 281.60,3: 273.16,4: 264.02,5: 253.48,6: 245.04
Time: 18/12:27:58 Arduino 0: 0: 299.18,1: 290.74,2: 281.60,3: 273.87,4: 263.32,5: 254.88,6: 245.74
Time: 18/12:27:58 Arduino 0: 0: 298.48,1: 290.74,2: 281.25,3: 273.87,4: 265.08,5: 255.23,6: 247.15
Time: 18/12:27:58 Arduino 0: 0: 298.48,1: 290.74,2: 282.66,3: 274.57,4: 265.78,5: 257.34,6: 247.85
Time: 18/12:27:58 Arduino 0: 0: 298.13,1: 292.15,2: 282.30,3: 275.27,4: 266.48,5: 256.99,6: 248.91
Time: 18/12:27:58 Arduino 0: 0: 299.88,1: 291.09,2: 283.01,3: 274.57,4: 266.48,5: 258.05,6: 249.26
Time: 18/12:27:58 Arduino 0: 0: 293.55,1: 286.17,2: 279.49,3: 273.16,4: 265.08,5: 257.70,6: 250.31
Time: 18/12:27:58 Arduino 0: 0: 270.35,1: 268.59,2: 267.19,3: 264.02,4: 259.45,5: 253.48,6: 247.15
Time: 18/12:27:58 Arduino 0: 0: 261.91,1: 260.51,2: 258.40,3: 256.64,4: 252.07,5: 248.20,6: 243.28
Time: 18/12:27:58 Arduino 0: 0: 261.91,1: 258.05,2: 253.83,3: 251.37,4: 247.85,5: 243.28,6: 239.77
Time: 18/12:27:58 Arduino 0: 0: 261.91,1: 256.99,2: 252.42,3: 248.55,4: 243.98,5: 240.47,6: 235.55
Time: 18/12:27:58 Arduino 0: 0: 261.56,1: 256.99,2: 251.02,3: 247.15,4: 242.58,5: 237.66,6: 234.14
Time: 18/12:27:58 Arduino 0: 0: 261.91,1: 256.99,2: 251.37,3: 246.09,4: 241.52,5: 237.30,6: 231.68
Time: 18/12:27:59 Arduino 0: 0: 261.91,1: 256.99,2: 251.02,3: 246.45,4: 240.82,5: 235.90,6: 231.68
Time: 18/12:27:59 Arduino 0: 0: 261.56,1: 256.64,2: 251.37,3: 245.74,4: 240.82,5: 235.20,6: 230.63
Time: 18/12:27:59 Arduino 0: 0: 261.56,1: 256.99,2: 251.02,3: 246.09,4: 240.12,5: 235.20,6: 230.27
Time: 18/12:27:59 Arduino 0: 0: 261.56,1: 256.64,2: 251.02,3: 245.74,4: 240.47,5: 234.49,6: 229.92
Time: 18/12:27:59 Arduino 0: 0: 262.27,1: 256.64,2: 251.37,3: 246.09,4: 240.12,5: 235.20,6: 229.22
Time: 18/12:27:59 Arduino 0: 0: 261.56,1: 256.99,2: 250.66,3: 246.09,4: 240.82,5: 234.84,6: 230.27
Time: 18/12:27:59 Arduino 0: 0: 262.27,1: 256.29,2: 251.02,3: 245.74,4: 240.47,5: 235.20,6: 229.22
Time: 18/12:27:59 Arduino 0: 0: 261.91,1: 256.64,2: 250.31,3: 245.74,4: 239.77,5: 234.49,6: 229.57
Time: 18/12:27:59 Arduino 0: 0: 262.27,1: 256.64,2: 251.02,3: 245.04,4: 240.12,5: 234.84,6: 229.22
Time: 18/12:27:59 Arduino 0: 0: 261.56,1: 256.64,2: 250.66,3: 245.74,4: 239.41,5: 234.14,6: 229.22
Time: 18/12:27:59 Arduino 0: 0: 261.56,1: 256.64,2: 250.66,3: 245.39,4: 240.12,5: 233.79,6: 228.87
Time: 18/12:27:59 Arduino 0: 0: 261.91,1: 256.29,2: 251.02,3: 246.09,4: 239.41,5: 234.49,6: 228.87
Time: 18/12:27:59 Arduino 0: 0: 261.91,1: 256.99,2: 250.66,3: 246.09,4: 240.47,5: 234.14,6: 229.22
