Time: 18/12:32:47 Arduino 0: 
Time: 18/12:32:47 Arduino 0: 0: 261.21,1: 245.39,2: 234.14,3: 225.35,4: 217.27,5: 210.94,6: 206.37
Time: 18/12:32:47 Arduino 0: 0: 261.21,1: 253.83,2: 244.34,3: 236.25,4: 226.41,5: 218.32,6: 212.34
Time: 18/12:32:47 Arduino 0: 0: 261.56,1: 254.53,2: 247.85,3: 240.12,4: 232.38,5: 223.59,6: 216.56
Time: 18/12:32:47 Arduino 0: 0: 261.56,1: 254.53,2: 248.55,3: 242.58,4: 234.49,5: 227.46,6: 220.43
Time: 18/12:32:48 Arduino 0: 0: 261.21,1: 255.23,2: 248.91,3: 243.28,4: 236.95,5: 228.87,6: 222.54
Time: 18/12:32:48 Arduino 0: 0: 261.91,1: 255.23,2: 249.61,3: 244.34,4: 237.30,5: 230.98,6: 223.24
Time: 18/12:32:48 Arduino 0: 0: 261.21,1: 255.94,2: 249.26,3: 244.34,4: 238.36,5: 230.98,6: 225.35
Time: 18/12:32:48 Arduino 0: 0: 261.56,1: 255.59,2: 250.31,3: 243.98,4: 238.36,5: 232.38,6: 225.35
Time: 18/12:32:48 Arduino 0: 0: 261.21,1: 256.64,2: 249.96,3: 244.69,4: 238.36,5: 232.38,6: 226.41
Time: 18/12:32:48 Arduino 0: 0: 261.56,1: 256.29,2: 250.31,3: 244.34,4: 239.06,5: 232.73,6: 226.41
Time: 18/12:32:48 Arduino 0: 0: 261.56,1: 255.94,2: 250.31,3: 245.04,4: 238.36,5: 232.73,6: 227.11
Time: 18/12:32:48 Arduino 0: 0: 261.56,1: 255.94,2: 250.31,3: 244.69,4: 239.06,5: 232.38,6: 227.11
Time: 18/12:32:48 Arduino 0: 0: 261.21,1: 255.23,2: 250.31,3: 244.69,4: 238.71,5: 233.09,6: 226.76
Time: 18/12:32:48 Arduino 0: 0: 261.21,1: 256.29,2: 249.26,3: 244.69,4: 239.06,5: 232.38,6: 227.46
Time: 18/12:32:48 Arduino 0: 0: 262.62,1: 255.94,2: 250.31,3: 244.69,4: 238.71,5: 233.44,6: 226.76
Time: 18/12:32:48 Arduino 0: 0: 261.56,1: 256.29,2: 249.61,3: 244.69,4: 239.06,5: 233.09,6: 227.81
Time: 18/12:32:48 Arduino 0: 0: 261.56,1: 255.94,2: 250.66,3: 244.34,4: 239.06,5: 233.79,6: 227.11
Time: 18/12:32:48 Arduino 0: 0: 261.21,1: 256.29,2: 250.31,3: 245.39,4: 238.71,5: 233.44,6: 227.81
Time: 18/12:32:49 Arduino 0: 0: 261.56,1: 255.59,2: 250.31,3: 244.69,4: 239.06,5: 232.73,6: 227.46
Time: 18/12:32:49 Arduino 0: 0: 261.21,1: 255.59,2: 250.31,3: 245.04,4: 238.71,5: 233.09,6: 227.11
Time: 18/12:32:49 Arduino 0: 0: 263.32,1: 257.70,2: 250.66,3: 245.39,4: 239.77,5: 232.73,6: 227.81
Time: 18/12:32:49 Arduino 0: 0: 265.43,1: 259.45,2: 253.13,3: 246.80,4: 240.47,5: 234.49,6: 227.46
Time: 18/12:32:49 Arduino 0: 0: 268.59,1: 262.27,2: 254.53,3: 248.55,4: 242.23,5: 235.20,6: 229.57
Time: 18/12:32:49 Arduino 0: 0: 270.35,1: 264.38,2: 257.34,3: 249.96,4: 243.63,5: 236.95,6: 229.92
Time: 18/12:32:49 Arduino 0: 0: 274.22,1: 267.19,2: 259.10,3: 252.77,4: 245.04,5: 238.36,6: 232.03
Time: 18/12:32:49 Arduino 0: 0: 277.03,1: 269.65,2: 262.27,3: 254.53,4: 247.50,5: 240.12,6: 233.44
Time: 18/12:32:49 Arduino 0: 0: 279.49,1: 271.41,2: 264.02,3: 256.99,4: 248.55,5: 241.88,6: 235.20
Time: 18/12:32:49 Arduino 0: 0: 281.25,1: 274.22,2: 265.78,3: 258.75,4: 251.37,5: 242.93,6: 236.25
Time: 18/12:32:49 Arduino 0: 0: 284.06,1: 276.33,2: 268.24,3: 261.21,4: 252.77,5: 245.39,6: 237.30
Time: 18/12:32:49 Arduino 0: 0: 285.82,1: 278.79,2: 269.65,3: 262.97,4: 254.88,5: 246.45,6: 239.77
Time: 18/12:32:49 Arduino 0: 0: 289.69,1: 280.90,2: 272.46,3: 264.02,4: 256.64,5: 248.91,6: 240.12
Time: 18/12:32:50 Arduino 0: 0: 291.09,1: 284.41,2: 274.57,3: 267.19,4: 258.40,5: 249.96,6: 242.58
Time: 18/12:32:50 Arduino 0: 0: 293.91,1: 285.82,2: 277.03,3: 268.59,4: 260.51,5: 252.42,6: 243.98
Time: 18/12:32:50 Arduino 0: 0: 295.66,1: 287.58,2: 278.79,3: 271.05,4: 261.56,5: 253.48,6: 246.09
Time: 18/12:32:50 Arduino 0: 0: 294.61,1: 287.58,2: 279.14,3: 271.41,4: 263.32,5: 254.18,6: 246.80
Time: 18/12:32:50 Arduino 0: 0: 294.26,1: 287.23,2: 279.49,3: 272.11,4: 263.32,5: 255.59,6: 247.15
Time: 18/12:32:50 Arduino 0: 0: 294.61,1: 287.58,2: 278.79,3: 272.11,4: 264.02,5: 255.23,6: 248.20
Time: 18/12:32:50 Arduino 0: 0: 294.96,1: 287.23,2: 279.49,3: 271.76,4: 264.02,5: 256.29,6: 247.50
Time: 18/12:32:50 Arduino 0: 0: 294.26,1: 287.23,2: 278.79,3: 272.11,4: 264.02,5: 255.94,6: 248.55
Time: 18/12:32:50 Arduino 0: 0: 294.96,1: 287.23,2: 279.49,3: 271.76,4: 264.02,5: 256.64,6: 248.20
Time: 18/12:32:50 Arduino 0: 0: 293.20,1: 285.12,2: 277.38,3: 271.41,4: 262.62,5: 255.59,6: 248.55
Time: 18/12:32:50 Arduino 0: 0: 270.35,1: 268.95,2: 266.48,3: 262.62,4: 258.05,5: 251.72,6: 245.74
Time: 18/12:32:50 Arduino 0: 0: 262.97,1: 260.16,2: 257.70,3: 255.94,4: 251.02,5: 247.15,6: 241.88
Time: 18/12:32:50 Arduino 0: 0: 260.86,1: 258.05,2: 253.13,3: 250.31,4: 246.80,5: 241.88,6: 238.36
Time: 18/12:32:50 Arduino 0: 0: 260.86,1: 256.64,2: 252.07,3: 247.50,4: 243.63,5: 239.77,6: 234.49
Time: 18/12:32:51 Arduino 0: 0: 260.86,1: 256.99,2: 251.02,3: 246.80,4: 242.23,5: 237.30,6: 233.44
Time: 18/12:32:51 Arduino 0: 0: 261.91,1: 256.64,2: 251.02,3: 245.39,4: 241.17,5: 236.60,6: 231.33
Time: 18/12:32:51 Arduino 0: 0: 261.56,1: 255.94,2: 250.66,3: 246.09,4: 240.12,5: 235.55,6: 231.33
Time: 18/12:32:51 Arduino 0: 0: 261.21,1: 256.29,2: 251.02,3: 245.39,4: 240.47,5: 234.84,6: 230.27
Time: 18/12:32:51 Arduino 0: 0: 261.21,1: 256.29,2: 251.02,3: 246.09,4: 239.77,5: 235.20,6: 229.92
Time: 18/12:32:51 Arduino 0: 0: 261.91,1: 256.29,2: 250.66,3: 245.39,4: 240.47,5: 234.14,6: 229.92
Time: 18/12:32:51 Arduino 0: 0: 261.91,1: 255.59,2: 250.66,3: 245.74,4: 239.77,5: 234.84,6: 228.87
Time: 18/12:32:51 Arduino 0: 0: 261.21,1: 256.64,2: 250.31,3: 245.39,4: 240.12,5: 234.14,6: 229.22
Time: 18/12:32:51 Arduino 0: 0: 261.56,1: 256.29,2: 250.66,3: 245.04,4: 239.77,5: 234.49,6: 228.52
Time: 18/12:32:51 Arduino 0: 0: 261.21,1: 256.99,2: 250.31,3: 245.74,4: 239.41,5: 234.14,6: 229.22
Time: 18/12:32:51 Arduino 0: 0: 261.21,1: 256.29,2: 251.02,3: 245.04,4: 239.77,5: 234.14,6: 228.87
Time: 18/12:32:51 Arduino 0: 0: 260.86,1: 256.64,2: 250.66,3: 246.09,4: 239.06,5: 234.49,6: 229.22
Time: 18/12:32:51 Arduino 0: 0: 261.91,1: 256.64,2: 250.66,3: 245.39,4: 240.12,5: 233.79,6: 229.22
Time: 18/12:32:52 Arduino 0: 0: 261.56,1: 255.59,2: 250.66,3: 245.74,4: 239.41,5: 234.14,6: 228.52
Time: 18/12:32:52 Arduino 0: 0: 261.21,1: 256.29,2: 249.96,3: 245.04,4: 239.77,5: 233.79,6: 228.87
Time: 18/12:32:52 Arduino 0: 0: 261.91,1: 255.94,2: 250.66,3: 244.69,4: 239.77,5: 234.14,6: 227.81
Time: 18/12:32:52 Arduino 0: 0: 261.56,1: 256.29,2: 249.96,3: 245.39,4: 239.41,5: 233.79,6: 228.87
Time: 18/12:32:52 Arduino 0: 0: 261.21,1: 255.94,2: 250.66,3: 244.69,4: 239.41,5: 234.49,6: 228.16
Time: 18/12:32:52 Arduino 0: 0: 260.86,1: 256.64,2: 250.31,3: 245.39,4: 239.06,5: 233.79,6: 228.52
Time: 18/12:32:52 Arduino 0: 0: 261.21,1: 256.29,2: 250.66,3: 245.04,4: 239.77,5: 233.44,6: 228.52
Time: 18/12:32:52 Arduino 0: 0: 261.56,1: 255.94,2: 250.66,3: 245.39,4: 239.06,5: 234.14,6: 228.52
Time: 18/12:32:52 Arduino 0: 0: 261.91,1: 256.29,2: 249.96,3: 245.04,4: 239.77,5: 233.44,6: 228.52
Time: 18/12:32:52 Arduino 0: 0: 260.86,1: 255.94,2: 250.66,3: 245.04,4: 239.41,5: 234.14,6: 227.46
Time: 18/12:32:52 Arduino 0: 0: 261.56,1: 256.29,2: 249.61,3: 245.04,4: 239.77,5: 233.44,6: 228.52
Time: 18/12:32:52 Arduino 0: 0: 261.91,1: 255.94,2: 250.66,3: 244.34,4: 239.41,5: 234.14,6: 227.81
Time: 18/12:32:52 Arduino 0: 0: 261.21,1: 255.94,2: 250.31,3: 245.04,4: 238.71,5: 233.79,6: 228.52
Time: 18/12:32:52 Arduino 0: 0: 261.21,1: 256.64,2: 250.66,3: 244.69,4: 239.77,5: 233.44,6: 228.16
Time: 18/12:32:53 Arduino 0: 0: 263.67,1: 257.34,2: 251.72,3: 246.09,4: 239.41,5: 234.14,6: 228.52
Time: 18/12:32:53 Arduino 0: 0: 266.13,1: 259.80,2: 253.13,3: 247.15,4: 241.17,5: 234.14,6: 229.22
Time: 18/12:32:53 Arduino 0: 0: 269.30,1: 261.91,2: 255.23,3: 249.26,4: 242.23,5: 236.25,6: 229.22
Time: 18/12:32:53 Arduino 0: 0: 271.41,1: 265.08,2: 256.99,3: 251.02,4: 244.34,5: 236.95,6: 231.33
Time: 18/12:32:53 Arduino 0: 0: 274.57,1: 267.19,2: 260.16,3: 252.77,4: 245.74,5: 239.41,6: 231.68
Time: 18/12:32:53 Arduino 0: 0: 276.68,1: 270.00,2: 261.56,3: 255.23,4: 247.50,5: 240.47,6: 234.14
Time: 18/12:32:53 Arduino 0: 0: 279.14,1: 272.11,2: 264.38,3: 256.64,4: 249.61,5: 242.23,6: 235.20
Time: 18/12:32:53 Arduino 0: 0: 281.25,1: 274.22,2: 266.13,3: 259.45,4: 251.02,5: 243.98,6: 237.30
Time: 18/12:32:53 Arduino 0: 0: 284.41,1: 276.33,2: 268.59,3: 260.86,4: 253.13,5: 245.04,6: 238.36
Time: 18/12:32:53 Arduino 0: 0: 286.52,1: 278.44,2: 270.70,3: 262.97,4: 254.88,5: 247.50,6: 239.41
Time: 18/12:32:53 Arduino 0: 0: 288.98,1: 281.25,2: 272.11,3: 264.73,4: 257.34,5: 248.20,6: 241.52
Time: 18/12:32:53 Arduino 0: 0: 292.15,1: 283.36,2: 274.92,3: 266.48,4: 258.40,5: 250.66,6: 241.88
Time: 18/12:32:53 Arduino 0: 0: 293.91,1: 286.17,2: 276.68,3: 269.30,4: 260.16,5: 252.07,6: 244.34
Time: 18/12:32:54 Arduino 0: 0: 294.61,1: 287.58,2: 278.79,3: 270.00,4: 261.91,5: 254.18,6: 245.39
Time: 18/12:32:54 Arduino 0: 0: 294.96,1: 288.28,2: 279.14,3: 271.76,4: 262.62,5: 254.53,6: 247.15
Time: 18/12:32:54 Arduino 0: 0: 294.61,1: 287.58,2: 279.49,3: 271.76,4: 263.67,5: 255.23,6: 247.85
Time: 18/12:32:54 Arduino 0: 0: 294.26,1: 287.58,2: 279.49,3: 272.46,4: 263.32,5: 255.94,6: 248.20
Time: 18/12:32:54 Arduino 0: 0: 293.91,1: 287.23,2: 279.49,3: 272.11,4: 264.38,5: 255.59,6: 248.55
Time: 18/12:32:54 Arduino 0: 0: 293.91,1: 287.23,2: 279.49,3: 272.11,4: 264.02,5: 256.29,6: 248.20
Time: 18/12:32:54 Arduino 0: 0: 294.61,1: 287.93,2: 278.79,3: 272.46,4: 264.38,5: 256.29,6: 249.26
Time: 18/12:32:54 Arduino 0: 0: 293.20,1: 284.41,2: 277.73,3: 270.00,4: 263.32,5: 255.94,6: 247.85
Time: 18/12:32:54 Arduino 0: 0: 269.30,1: 267.19,2: 265.08,3: 262.62,4: 256.99,5: 251.72,6: 246.09
Time: 18/12:32:54 Arduino 0: 0: 261.56,1: 260.16,2: 257.70,3: 254.53,4: 251.37,5: 246.80,6: 241.88
Time: 18/12:32:54 Arduino 0: 0: 261.21,1: 257.34,2: 253.48,3: 250.31,4: 245.74,5: 242.58,6: 238.36
Time: 18/12:32:54 Arduino 0: 0: 260.86,1: 256.99,2: 251.72,3: 247.50,4: 243.63,5: 238.71,6: 235.20
Time: 18/12:32:54 Arduino 0: 0: 262.27,1: 256.64,2: 251.37,3: 246.80,4: 241.88,5: 237.66,6: 232.73
Time: 18/12:32:54 Arduino 0: 0: 261.21,1: 256.64,2: 250.31,3: 246.09,4: 241.17,5: 235.90,6: 232.03
Time: 18/12:32:55 Arduino 0: 0: 261.56,1: 256.29,2: 251.02,3: 245.39,4: 240.47,5: 236.25,6: 230.27
Time: 18/12:32:55 Arduino 0: 0: 260.86,1: 256.99,2: 250.66,3: 245.74,4: 240.47,5: 235.20,6: 230.63
Time: 18/12:32:55 Arduino 0: 0: 260.86,1: 256.64,2: 251.02,3: 245.04,4: 240.47,5: 234.84,6: 229.92
Time: 18/12:32:55 Arduino 0: 0: 261.56,1: 255.59,2: 250.66,3: 245.74,4: 239.41,5: 234.84,6: 230.27
Time: 18/12:32:55 Arduino 0: 0: 260.86,1: 256.29,2: 251.02,3: 245.39,4: 240.47,5: 234.14,6: 229.57
Time: 18/12:32:55 Arduino 0: 0: 261.21,1: 255.94,2: 250.66,3: 245.74,4: 239.41,5: 234.49,6: 229.22
Time: 18/12:32:55 Arduino 0: 0: 261.56,1: 256.64,2: 250.31,3: 245.39,4: 240.47,5: 233.79,6: 229.22
Time: 18/12:32:55 Arduino 0: 0: 261.91,1: 255.94,2: 250.66,3: 245.39,4: 239.77,5: 234.49,6: 228.16
Time: 18/12:32:55 Arduino 0: 0: 260.86,1: 256.29,2: 249.96,3: 245.04,4: 239.41,5: 234.14,6: 229.22
Time: 18/12:32:55 Arduino 0: 0: 261.56,1: 256.29,2: 250.66,3: 244.69,4: 239.77,5: 234.14,6: 228.52
Time: 18/12:32:55 Arduino 0: 0: 261.21,1: 256.64,2: 250.31,3: 245.39,4: 239.06,5: 234.14,6: 229.22
Time: 18/12:32:55 Arduino 0: 0: 261.56,1: 256.29,2: 250.66,3: 245.04,4: 239.77,5: 233.79,6: 228.87
Time: 18/12:32:55 Arduino 0: 0: 260.86,1: 256.29,2: 250.66,3: 245.74,4: 239.41,5: 234.49,6: 228.87
Time: 18/12:32:56 Arduino 0: 0: 261.56,1: 256.29,2: 250.31,3: 245.39,4: 239.77,5: 233.44,6: 228.87
Time: 18/12:32:56 Arduino 0: 0: 261.56,1: 255.59,2: 250.31,3: 245.04,4: 239.41,5: 234.14,6: 228.16
Time: 18/12:32:56 Arduino 0: 0: 261.56,1: 256.29,2: 249.96,3: 245.04,4: 239.77,5: 233.44,6: 228.52
Time: 18/12:32:56 Arduino 0: 0: 261.91,1: 256.29,2: 250.66,3: 244.34,4: 239.41,5: 234.14,6: 227.81
Time: 18/12:32:56 Arduino 0: 0: 260.86,1: 255.94,2: 249.96,3: 245.39,4: 239.06,5: 233.79,6: 228.87
Time: 18/12:32:56 Arduino 0: 0: 262.27,1: 255.94,2: 250.66,3: 244.69,4: 239.41,5: 233.79,6: 228.52
Time: 18/12:32:56 Arduino 0: 0: 260.86,1: 255.59,2: 250.31,3: 245.04,4: 238.71,5: 233.79,6: 228.52
Time: 18/12:32:56 Arduino 0: 0: 261.21,1: 256.29,2: 249.96,3: 245.04,4: 239.41,5: 233.09,6: 228.52
Time: 18/12:32:56 Arduino 0: 0: 261.21,1: 255.94,2: 250.31,3: 245.39,4: 239.06,5: 233.79,6: 227.81
Time: 18/12:32:56 Arduino 0: 0: 261.56,1: 256.29,2: 249.61,3: 245.04,4: 239.77,5: 233.44,6: 228.52
Time: 18/12:32:56 Arduino 0: 0: 260.86,1: 256.29,2: 250.66,3: 244.69,4: 239.41,5: 234.14,6: 227.46
Time: 18/12:32:56 Arduino 0: 0: 260.86,1: 256.99,2: 250.31,3: 245.39,4: 239.41,5: 233.79,6: 228.52
Time: 18/12:32:56 Arduino 0: 0: 264.02,1: 258.05,2: 252.42,3: 245.74,4: 240.12,5: 234.49,6: 228.52
Time: 18/12:32:56 Arduino 0: 0: 266.84,1: 260.16,2: 253.48,3: 247.50,4: 240.82,5: 235.20,6: 229.57
Time: 18/12:32:57 Arduino 0: 0: 268.95,1: 262.62,2: 255.94,3: 249.26,4: 242.93,5: 235.55,6: 230.27
Time: 18/12:32:57 Arduino 0: 0: 271.41,1: 264.73,2: 257.70,3: 251.37,4: 243.98,5: 237.66,6: 230.98
Time: 18/12:32:57 Arduino 0: 0: 274.57,1: 267.54,2: 259.45,3: 253.13,4: 246.45,5: 238.71,6: 232.73
Time: 18/12:32:57 Arduino 0: 0: 277.73,1: 270.00,2: 262.62,3: 255.23,4: 247.85,5: 241.17,6: 233.44
Time: 18/12:32:57 Arduino 0: 0: 279.84,1: 272.46,2: 263.67,3: 257.34,4: 249.61,5: 242.23,6: 235.90
Time: 18/12:32:57 Arduino 0: 0: 282.30,1: 274.57,2: 266.48,3: 259.10,4: 251.37,5: 244.34,6: 236.60
Time: 18/12:32:57 Arduino 0: 0: 284.06,1: 277.03,2: 268.59,3: 261.56,4: 253.13,5: 245.74,6: 238.71
Time: 18/12:32:57 Arduino 0: 0: 286.88,1: 279.14,2: 270.70,3: 262.97,4: 255.23,5: 247.15,6: 240.12
Time: 18/12:32:57 Arduino 0: 0: 288.98,1: 281.60,2: 272.81,3: 265.78,4: 256.64,5: 249.26,6: 241.52
Time: 18/12:32:57 Arduino 0: 0: 291.45,1: 284.06,2: 275.27,3: 267.54,4: 259.10,5: 250.31,6: 243.28
Time: 18/12:32:57 Arduino 0: 0: 294.61,1: 286.17,2: 277.73,3: 268.95,4: 260.86,5: 252.77,6: 243.98
Time: 18/12:32:57 Arduino 0: 0: 295.31,1: 287.93,2: 278.44,3: 271.05,4: 262.97,5: 253.48,6: 246.09
Time: 18/12:32:57 Arduino 0: 0: 294.96,1: 287.58,2: 279.49,3: 271.41,4: 263.32,5: 255.23,6: 246.45
Time: 18/12:32:58 Arduino 0: 0: 294.61,1: 287.58,2: 279.14,3: 272.46,4: 263.32,5: 255.59,6: 248.20
Time: 18/12:32:58 Arduino 0: 0: 294.26,1: 287.58,2: 280.20,3: 271.76,4: 264.02,5: 255.94,6: 248.20
Time: 18/12:32:58 Arduino 0: 0: 294.26,1: 287.58,2: 279.14,3: 272.46,4: 263.67,5: 256.29,6: 248.91
Time: 18/12:32:58 Arduino 0: 0: 293.91,1: 287.58,2: 279.14,3: 272.11,4: 264.38,5: 255.94,6: 248.91
Time: 18/12:32:58 Arduino 0: 0: 293.91,1: 287.23,2: 279.49,3: 272.46,4: 264.02,5: 256.64,6: 248.55
Time: 18/12:32:58 Arduino 0: 0: 290.74,1: 283.71,2: 275.98,3: 270.35,4: 263.32,5: 255.23,6: 248.55
Time: 18/12:32:58 Arduino 0: 0: 267.19,1: 266.48,2: 264.73,3: 261.21,4: 256.99,5: 251.37,6: 244.69
Time: 18/12:32:58 Arduino 0: 0: 261.56,1: 260.16,2: 256.64,3: 254.53,4: 250.66,5: 246.09,6: 241.88
Time: 18/12:32:58 Arduino 0: 0: 261.91,1: 257.34,2: 253.48,3: 249.26,4: 246.09,5: 242.23,6: 237.66
Time: 18/12:32:58 Arduino 0: 0: 261.21,1: 256.64,2: 251.72,3: 247.85,4: 242.93,5: 239.06,6: 235.55
Time: 18/12:32:58 Arduino 0: 0: 261.56,1: 256.64,2: 251.37,3: 246.45,4: 242.23,5: 236.95,6: 233.44
Time: 18/12:32:58 Arduino 0: 0: 261.56,1: 256.64,2: 251.37,3: 246.80,4: 240.82,5: 236.60,6: 231.68
Time: 18/12:32:58 Arduino 0: 0: 261.21,1: 256.29,2: 250.66,3: 246.09,4: 241.17,5: 235.20,6: 231.33
Time: 18/12:32:58 Arduino 0: 0: 261.56,1: 256.29,2: 251.02,3: 245.74,4: 240.47,5: 235.55,6: 229.92
Time: 18/12:32:59 Arduino 0: 0: 261.91,1: 256.64,2: 250.31,3: 245.74,4: 240.47,5: 234.84,6: 230.27
Time: 18/12:32:59 Arduino 0: 0: 261.91,1: 256.29,2: 251.02,3: 245.04,4: 240.12,5: 235.20,6: 229.22
Time: 18/12:32:59 Arduino 0: 0: 261.56,1: 256.29,2: 250.66,3: 245.74,4: 239.41,5: 234.84,6: 229.92
Time: 18/12:32:59 Arduino 0: 0: 261.91,1: 256.29,2: 251.02,3: 245.04,4: 240.12,5: 234.49,6: 229.57
Time: 18/12:32:59 Arduino 0: 0: 261.56,1: 255.94,2: 250.66,3: 245.74,4: 239.41,5: 234.49,6: 229.22
Time: 18/12:32:59 Arduino 0: 0: 261.21,1: 256.64,2: 250.31,3: 245.39,4: 240.12,5: 234.14,6: 229.22
Time: 18/12:32:59 Arduino 0: 0: 261.56,1: 255.94,2: 250.66,3: 245.39,4: 239.77,5: 234.49,6: 228.52
Time: 18/12:32:59 Arduino 0: 0: 261.56,1: 256.29,2: 249.96,3: 245.39,4: 240.12,5: 233.79,6: 229.22
Time: 18/12:32:59 Arduino 0: 0: 261.91,1: 256.29,2: 250.66,3: 244.69,4: 239.77,5: 234.49,6: 228.16
Time: 18/12:32:59 Arduino 0: 0: 260.86,1: 256.64,2: 250.31,3: 245.39,4: 239.41,5: 234.14,6: 229.22
Time: 18/12:32:59 Arduino 0: 0: 262.62,1: 256.29,2: 250.66,3: 245.04,4: 239.77,5: 234.14,6: 228.87
Time: 18/12:32:59 Arduino 0: 0: 261.56,1: 255.94,2: 250.66,3: 245.39,4: 239.41,5: 234.14,6: 229.22
Time: 18/12:32:59 Arduino 0: 0: 261.56,1: 256.29,2: 250.66,3: 245.04,4: 239.77,5: 233.79,6: 228.87
Time: 18/12:32:59 Arduino 0: 0: 261.56,1: 255.94,2: 250.66,3: 245.39,4: 239.41,5: 234.14,6: 228.16
Time: 18/12:33:0 Arduino 0: 0: 261.56,1: 256.29,2: 249.96,3: 245.39,4: 240.12,5: 233.44,6: 228.87
Time: 18/12:33:0 Arduino 0: 0: 261.56,1: 255.94,2: 250.66,3: 245.04,4: 239.41,5: 234.14,6: 228.16
Time: 18/12:33:0 Arduino 0: 0: 261.21,1: 256.64,2: 250.31,3: 245.39,4: 239.41,5: 234.14,6: 228.87
Time: 18/12:33:0 Arduino 0: 0: 261.56,1: 256.29,2: 250.66,3: 244.69,4: 239.77,5: 234.14,6: 228.16
Time: 18/12:33:0 Arduino 0: 0: 261.91,1: 256.29,2: 250.66,3: 245.39,4: 238.71,5: 233.79,6: 228.87
Time: 18/12:33:0 Arduino 0: 0: 261.56,1: 256.29,2: 250.66,3: 245.04,4: 239.77,5: 233.44,6: 228.52
Time: 18/12:33:0 Arduino 0: 0: 261.21,1: 256.29,2: 250.66,3: 245.39,4: 239.06,5: 234.14,6: 228.16
