Time: 18/13:33:48 Arduino 0: 
Time: 18/13:33:48 Arduino 0: 0: 287.58,1: 259.10,2: 241.88,3: 228.16,4: 217.27,5: 208.48,6: 202.85
Time: 18/13:33:48 Arduino 0: 0: 287.93,1: 275.63,2: 260.51,3: 247.15,4: 234.49,5: 221.84,6: 213.75
Time: 18/13:33:48 Arduino 0: 0: 290.74,1: 278.09,2: 268.24,3: 256.64,4: 244.69,5: 233.44,6: 221.84
Time: 18/13:33:48 Arduino 0: 0: 291.80,1: 282.66,2: 271.76,3: 262.97,4: 251.72,5: 240.12,6: 230.63
Time: 18/13:33:48 Arduino 0: 0: 295.31,1: 285.82,2: 275.98,3: 265.78,4: 256.64,5: 246.09,6: 234.84
Time: 18/13:33:49 Arduino 0: 0: 296.72,1: 287.58,2: 277.73,3: 269.65,4: 258.75,5: 249.26,6: 240.12
Time: 18/13:33:49 Arduino 0: 0: 296.37,1: 288.28,2: 279.49,3: 270.35,4: 262.27,5: 251.72,6: 242.58
Time: 18/13:33:49 Arduino 0: 0: 296.72,1: 288.63,2: 280.20,3: 272.11,4: 262.62,5: 253.83,6: 244.34
Time: 18/13:33:49 Arduino 0: 0: 296.02,1: 288.98,2: 279.84,3: 272.46,4: 264.38,5: 253.83,6: 246.45
Time: 18/13:33:49 Arduino 0: 0: 296.72,1: 288.63,2: 281.25,3: 273.16,4: 263.67,5: 256.29,6: 245.74
Time: 18/13:33:49 Arduino 0: 0: 296.37,1: 289.34,2: 279.84,3: 273.52,4: 265.08,5: 255.23,6: 247.85
Time: 18/13:33:49 Arduino 0: 0: 296.72,1: 288.28,2: 281.25,3: 272.11,4: 265.08,5: 256.64,6: 247.15
Time: 18/13:33:49 Arduino 0: 0: 295.66,1: 289.34,2: 280.55,3: 273.87,4: 264.73,5: 256.29,6: 248.91
Time: 18/13:33:49 Arduino 0: 0: 296.37,1: 288.63,2: 280.90,3: 272.81,4: 265.43,5: 256.99,6: 248.55
Time: 18/13:33:49 Arduino 0: 0: 296.72,1: 288.28,2: 280.55,3: 273.16,4: 264.02,5: 256.64,6: 248.91
Time: 18/13:33:49 Arduino 0: 0: 276.68,1: 273.87,2: 269.65,3: 265.78,4: 260.16,5: 252.42,6: 246.45
Time: 18/13:33:49 Arduino 0: 0: 263.67,1: 262.27,2: 260.51,3: 258.05,4: 253.13,5: 248.91,6: 242.23
Time: 18/13:33:49 Arduino 0: 0: 262.27,1: 259.45,2: 254.53,3: 252.42,4: 248.55,5: 243.28,6: 239.77
Time: 18/13:33:49 Arduino 0: 0: 262.62,1: 258.05,2: 253.83,3: 248.55,4: 244.69,5: 240.82,6: 235.20
Time: 18/13:33:50 Arduino 0: 0: 261.91,1: 258.40,2: 252.07,3: 248.20,4: 242.93,5: 238.01,6: 234.49
Time: 18/13:33:50 Arduino 0: 0: 262.62,1: 257.70,2: 252.42,3: 246.45,4: 242.58,5: 237.30,6: 232.03
