Time: 18/13:34:58 Arduino 0: 4
Time: 18/13:34:58 Arduino 0: 0: 287.58,1: 259.80,2: 242.23,3: 228.87,4: 217.27,5: 208.13,6: 202.15
Time: 18/13:34:58 Arduino 0: 0: 287.58,1: 276.33,2: 261.91,3: 247.85,4: 235.20,5: 222.89,6: 213.75
Time: 18/13:34:58 Arduino 0: 0: 292.15,1: 280.90,2: 270.00,3: 258.75,4: 245.39,5: 234.49,6: 223.24
Time: 18/13:34:58 Arduino 0: 0: 297.77,1: 286.88,2: 275.63,3: 265.78,4: 254.18,5: 241.52,6: 231.68
Time: 18/13:34:59 Arduino 0: 0: 303.75,1: 291.45,2: 280.90,3: 271.05,4: 259.80,5: 248.91,6: 236.95
Time: 18/13:34:59 Arduino 0: 0: 306.21,1: 297.07,2: 285.12,3: 275.98,4: 264.73,5: 253.13,6: 242.93
Time: 18/13:34:59 Arduino 0: 0: 311.13,1: 300.23,2: 290.04,3: 279.14,4: 268.59,5: 258.05,6: 246.09
Time: 18/13:34:59 Arduino 0: 0: 315.00,1: 305.51,2: 293.55,3: 284.06,4: 272.46,5: 261.21,6: 251.37
Time: 18/13:34:59 Arduino 0: 0: 319.22,1: 309.02,2: 298.83,3: 287.58,4: 277.03,5: 265.43,6: 254.18
Time: 18/13:34:59 Arduino 0: 0: 323.44,1: 312.89,2: 303.05,3: 292.50,4: 280.20,5: 268.95,6: 258.05
Time: 18/13:34:59 Arduino 0: 0: 323.44,1: 314.65,2: 304.45,3: 294.61,4: 283.71,5: 271.05,6: 260.51
Time: 18/13:34:59 Arduino 0: 0: 323.79,1: 315.00,2: 306.21,3: 296.72,4: 284.77,5: 274.22,6: 262.27
Time: 18/13:34:59 Arduino 0: 0: 322.73,1: 315.00,2: 306.21,3: 297.42,4: 286.88,5: 274.92,6: 265.08
Time: 18/13:34:59 Arduino 0: 0: 322.03,1: 314.30,2: 307.27,3: 297.07,4: 287.23,5: 277.03,6: 265.08
Time: 18/13:34:59 Arduino 0: 0: 322.03,1: 315.00,2: 305.86,3: 298.13,4: 287.58,5: 276.68,6: 267.19
