Time: 18/12:37:32 Arduino 0: 
Time: 18/12:37:32 Arduino 0: 0: 261.21,1: 242.58,2: 230.98,3: 221.84,4: 213.75,5: 207.77,6: 203.55
Time: 18/12:37:32 Arduino 0: 0: 261.56,1: 253.13,2: 242.58,3: 233.79,4: 224.65,5: 215.51,6: 209.53
Time: 18/12:37:32 Arduino 0: 0: 261.56,1: 253.48,2: 246.45,3: 238.71,4: 230.27,5: 222.19,6: 214.10
Time: 18/12:37:32 Arduino 0: 0: 261.56,1: 254.53,2: 247.15,3: 241.52,4: 234.14,5: 225.70,6: 219.02
Time: 18/12:37:32 Arduino 0: 0: 261.56,1: 254.88,2: 248.91,3: 241.88,4: 235.90,5: 228.87,6: 220.78
Time: 18/12:37:32 Arduino 0: 0: 260.86,1: 255.59,2: 248.91,3: 243.28,4: 236.60,5: 229.92,6: 223.59
Time: 18/12:37:32 Arduino 0: 0: 261.56,1: 255.59,2: 249.61,3: 243.28,4: 237.66,5: 230.98,6: 224.30
Time: 18/12:37:32 Arduino 0: 0: 261.21,1: 255.23,2: 249.96,3: 243.98,4: 237.30,5: 231.68,6: 225.35
Time: 18/12:37:33 Arduino 0: 0: 261.21,1: 255.94,2: 249.96,3: 243.98,4: 238.36,5: 231.33,6: 225.70
Time: 18/12:37:33 Arduino 0: 0: 261.21,1: 255.59,2: 250.31,3: 244.34,4: 238.01,5: 232.03,6: 225.35
Time: 18/12:37:33 Arduino 0: 0: 262.27,1: 255.94,2: 249.26,3: 244.34,4: 238.71,5: 231.68,6: 226.41
Time: 18/12:37:33 Arduino 0: 0: 261.91,1: 255.94,2: 250.31,3: 243.98,4: 238.71,5: 232.73,6: 225.70
Time: 18/12:37:33 Arduino 0: 0: 260.86,1: 255.94,2: 249.96,3: 244.69,4: 238.36,5: 232.73,6: 226.76
Time: 18/12:37:33 Arduino 0: 0: 261.56,1: 256.64,2: 250.31,3: 244.34,4: 238.71,5: 232.73,6: 226.41
Time: 18/12:37:33 Arduino 0: 0: 261.56,1: 255.59,2: 249.96,3: 244.69,4: 238.01,5: 233.09,6: 227.46
Time: 18/12:37:33 Arduino 0: 0: 261.91,1: 256.99,2: 250.66,3: 244.69,4: 239.06,5: 232.38,6: 227.11
Time: 18/12:37:33 Arduino 0: 0: 265.08,1: 258.75,2: 252.77,3: 246.45,4: 239.77,5: 233.79,6: 227.46
Time: 18/12:37:33 Arduino 0: 0: 268.24,1: 261.56,2: 253.83,3: 247.85,4: 241.52,5: 234.14,6: 228.87
Time: 18/12:37:33 Arduino 0: 0: 271.05,1: 264.38,2: 256.99,3: 249.96,4: 243.28,5: 236.60,6: 229.22
Time: 18/12:37:33 Arduino 0: 0: 274.22,1: 267.54,2: 259.10,3: 252.42,4: 245.39,5: 238.01,6: 231.33
Time: 18/12:37:33 Arduino 0: 0: 276.68,1: 269.65,2: 261.91,3: 254.18,4: 247.50,5: 240.12,6: 232.38
Time: 18/12:37:34 Arduino 0: 0: 280.20,1: 272.46,2: 264.02,3: 256.99,4: 248.55,5: 241.88,6: 234.84
Time: 18/12:37:34 Arduino 0: 0: 282.30,1: 274.92,2: 266.84,3: 259.10,4: 251.37,5: 243.28,6: 236.25
Time: 18/12:37:34 Arduino 0: 0: 285.12,1: 277.03,2: 268.95,3: 261.56,4: 252.77,5: 245.74,6: 238.01
Time: 18/12:37:34 Arduino 0: 0: 288.63,1: 280.20,2: 271.05,3: 264.02,4: 255.59,5: 246.80,6: 239.77
Time: 18/12:37:34 Arduino 0: 0: 291.09,1: 281.95,2: 273.87,3: 265.78,4: 256.99,5: 249.26,6: 240.82
Time: 18/12:37:34 Arduino 0: 0: 293.91,1: 285.47,2: 275.63,3: 268.24,4: 259.45,5: 251.02,6: 243.28
Time: 18/12:37:34 Arduino 0: 0: 296.72,1: 288.98,2: 279.49,3: 270.35,4: 262.27,5: 253.48,6: 244.34
Time: 18/12:37:34 Arduino 0: 0: 298.83,1: 291.09,2: 281.25,3: 273.16,4: 263.67,5: 254.88,6: 246.80
Time: 18/12:37:34 Arduino 0: 0: 299.18,1: 291.09,2: 282.66,3: 274.22,4: 265.43,5: 256.64,6: 248.20
Time: 18/12:37:34 Arduino 0: 0: 290.74,1: 284.06,2: 278.44,3: 271.76,4: 263.32,5: 255.94,6: 248.20
Time: 18/12:37:34 Arduino 0: 0: 267.19,1: 266.48,2: 264.73,3: 262.27,4: 257.34,5: 250.66,6: 245.04
Time: 18/12:37:34 Arduino 0: 0: 261.21,1: 259.45,2: 257.34,3: 254.88,4: 250.66,5: 246.45,6: 240.82
Time: 18/12:37:34 Arduino 0: 0: 261.91,1: 257.70,2: 252.77,3: 250.31,4: 246.45,5: 241.88,6: 238.01
Time: 18/12:37:34 Arduino 0: 0: 261.21,1: 256.64,2: 252.07,3: 247.50,4: 243.28,5: 239.41,6: 234.14
Time: 18/12:37:35 Arduino 0: 0: 262.62,1: 256.99,2: 251.02,3: 246.80,4: 241.88,5: 236.95,6: 232.73
Time: 18/12:37:35 Arduino 0: 0: 261.21,1: 256.99,2: 251.37,3: 245.39,4: 240.82,5: 236.25,6: 230.98
Time: 18/12:37:35 Arduino 0: 0: 261.56,1: 256.29,2: 251.02,3: 245.74,4: 239.77,5: 235.20,6: 230.63
Time: 18/12:37:35 Arduino 0: 0: 261.91,1: 256.99,2: 251.02,3: 245.39,4: 240.47,5: 234.49,6: 230.27
Time: 18/12:37:35 Arduino 0: 0: 261.56,1: 256.29,2: 251.02,3: 245.74,4: 239.77,5: 234.84,6: 229.22
Time: 18/12:37:35 Arduino 0: 0: 261.56,1: 256.29,2: 250.31,3: 245.39,4: 240.12,5: 234.14,6: 229.57
Time: 18/12:37:35 Arduino 0: 0: 261.21,1: 256.29,2: 251.02,3: 245.04,4: 240.12,5: 234.49,6: 228.16
Time: 18/12:37:35 Arduino 0: 0: 262.62,1: 256.64,2: 250.31,3: 245.39,4: 240.12,5: 234.14,6: 229.22
Time: 18/12:37:35 Arduino 0: 0: 261.21,1: 256.64,2: 251.02,3: 245.04,4: 240.12,5: 234.49,6: 228.52
Time: 18/12:37:35 Arduino 0: 0: 262.27,1: 256.29,2: 250.66,3: 245.39,4: 239.06,5: 234.49,6: 228.87
Time: 18/12:37:35 Arduino 0: 0: 260.86,1: 255.94,2: 250.66,3: 245.04,4: 239.77,5: 233.79,6: 228.87
Time: 18/12:37:35 Arduino 0: 0: 261.56,1: 255.94,2: 250.31,3: 245.39,4: 239.06,5: 234.14,6: 228.52
Time: 18/12:37:35 Arduino 0: 0: 261.56,1: 256.29,2: 250.31,3: 245.39,4: 239.77,5: 233.44,6: 228.52
Time: 18/12:37:36 Arduino 0: 0: 261.56,1: 255.94,2: 250.66,3: 245.04,4: 239.41,5: 234.14,6: 227.46
Time: 18/12:37:36 Arduino 0: 0: 261.56,1: 256.29,2: 249.96,3: 245.04,4: 239.77,5: 233.44,6: 228.52
Time: 18/12:37:36 Arduino 0: 0: 261.21,1: 256.64,2: 251.02,3: 244.69,4: 239.77,5: 234.14,6: 227.81
Time: 18/12:37:36 Arduino 0: 0: 261.91,1: 256.64,2: 250.66,3: 245.74,4: 239.41,5: 234.14,6: 228.52
Time: 18/12:37:36 Arduino 0: 0: 261.91,1: 257.70,2: 251.37,3: 245.04,4: 240.12,5: 234.14,6: 228.52
Time: 18/12:37:36 Arduino 0: 0: 261.56,1: 256.64,2: 251.02,3: 246.09,4: 239.41,5: 234.14,6: 228.87
Time: 18/12:37:36 Arduino 0: 0: 261.91,1: 257.34,2: 251.02,3: 245.74,4: 240.12,5: 233.79,6: 228.87
Time: 18/12:37:36 Arduino 0: 0: 261.56,1: 256.64,2: 251.37,3: 245.74,4: 239.77,5: 234.49,6: 228.16
Time: 18/12:37:36 Arduino 0: 0: 261.91,1: 256.64,2: 250.31,3: 245.39,4: 240.12,5: 233.79,6: 228.87
Time: 18/12:37:36 Arduino 0: 0: 261.56,1: 256.29,2: 250.66,3: 244.69,4: 240.12,5: 234.14,6: 227.81
Time: 18/12:37:36 Arduino 0: 0: 262.62,1: 256.29,2: 249.96,3: 245.39,4: 239.06,5: 233.79,6: 228.52
Time: 18/12:37:36 Arduino 0: 0: 261.91,1: 256.29,2: 250.66,3: 244.69,4: 239.77,5: 234.14,6: 228.16
Time: 18/12:37:36 Arduino 0: 0: 261.91,1: 255.94,2: 250.31,3: 245.04,4: 239.06,5: 234.14,6: 228.52
Time: 18/12:37:36 Arduino 0: 0: 263.32,1: 258.05,2: 251.72,3: 245.74,4: 240.12,5: 233.44,6: 228.52
Time: 18/12:37:37 Arduino 0: 0: 266.48,1: 259.45,2: 253.13,3: 247.50,4: 240.47,5: 234.84,6: 228.87
Time: 18/12:37:37 Arduino 0: 0: 268.95,1: 262.62,2: 254.88,3: 249.26,4: 242.58,5: 235.55,6: 229.92
Time: 18/12:37:37 Arduino 0: 0: 272.46,1: 265.43,2: 258.05,3: 251.02,4: 244.34,5: 237.66,6: 230.27
Time: 18/12:37:37 Arduino 0: 0: 275.98,1: 268.59,2: 260.16,3: 253.83,4: 246.45,5: 239.06,6: 232.73
Time: 18/12:37:37 Arduino 0: 0: 278.79,1: 271.76,2: 263.67,3: 255.59,4: 248.91,5: 241.52,6: 233.79
Time: 18/12:37:37 Arduino 0: 0: 280.90,1: 273.87,2: 265.78,3: 258.75,4: 249.96,5: 243.28,6: 236.25
Time: 18/12:37:37 Arduino 0: 0: 283.71,1: 277.03,2: 268.24,3: 260.16,4: 252.77,5: 244.69,6: 238.01
Time: 18/12:37:37 Arduino 0: 0: 285.82,1: 278.09,2: 270.35,3: 262.97,4: 253.83,5: 246.80,6: 239.41
Time: 18/12:37:37 Arduino 0: 0: 289.34,1: 281.25,2: 272.11,3: 264.73,4: 256.64,5: 248.20,6: 240.82
Time: 18/12:37:37 Arduino 0: 0: 292.15,1: 283.36,2: 274.92,3: 266.84,4: 258.40,5: 250.31,6: 241.88
Time: 18/12:37:37 Arduino 0: 0: 294.61,1: 286.88,2: 277.03,3: 269.65,4: 260.86,5: 252.07,6: 244.34
Time: 18/12:37:37 Arduino 0: 0: 297.77,1: 289.34,2: 280.20,3: 271.41,4: 262.62,5: 254.53,6: 245.39
Time: 18/12:37:37 Arduino 0: 0: 298.83,1: 291.09,2: 281.60,3: 273.87,4: 264.38,5: 256.29,6: 247.85
Time: 18/12:37:38 Arduino 0: 0: 299.88,1: 292.50,2: 283.36,3: 274.92,4: 266.48,5: 257.34,6: 248.91
Time: 18/12:37:38 Arduino 0: 0: 283.71,1: 279.14,2: 274.92,3: 270.00,4: 262.27,5: 255.59,6: 248.20
Time: 18/12:37:38 Arduino 0: 0: 263.32,1: 264.02,2: 262.27,3: 260.16,4: 255.94,5: 249.96,6: 244.69
Time: 18/12:37:38 Arduino 0: 0: 261.21,1: 258.75,2: 255.94,3: 253.13,4: 249.26,5: 245.39,6: 240.12
