Time: 18/20:30:57 Arduino 0: 
Time: 18/20:30:57 Arduino 0: 0: 299.53,1: 271.76,2: 253.83,3: 241.17,4: 229.22,5: 220.78,6: 215.16
Time: 18/20:30:57 Arduino 0: 0: 299.53,1: 287.58,2: 273.16,3: 259.45,4: 247.50,5: 235.20,6: 226.41
Time: 18/20:30:57 Arduino 0: 0: 299.18,1: 288.63,2: 279.49,3: 268.95,4: 256.29,5: 246.09,6: 235.55
Time: 18/20:30:57 Arduino 0: 0: 299.53,1: 290.74,2: 280.90,3: 273.16,4: 263.32,5: 251.37,6: 242.93
Time: 18/20:30:57 Arduino 0: 0: 299.18,1: 290.39,2: 283.36,3: 274.92,4: 265.43,5: 256.64,6: 245.74
Time: 18/20:30:57 Arduino 0: 0: 299.53,1: 291.45,2: 283.01,3: 276.68,4: 267.54,5: 258.05,6: 250.31
Time: 18/20:30:57 Arduino 0: 0: 299.53,1: 291.09,2: 284.06,3: 276.33,4: 268.59,5: 259.80,6: 250.31
Time: 18/20:30:58 Arduino 0: 0: 279.84,1: 276.68,2: 273.16,3: 270.70,4: 263.32,5: 256.99,6: 250.31
Time: 18/20:30:58 Arduino 0: 0: 262.97,1: 263.32,2: 262.27,3: 260.16,4: 257.70,5: 252.07,6: 246.45
Time: 18/20:30:58 Arduino 0: 0: 261.21,1: 258.75,2: 256.29,3: 254.53,4: 250.31,5: 247.85,6: 242.58
Time: 18/20:30:58 Arduino 0: 0: 261.56,1: 258.40,2: 253.13,3: 250.66,4: 247.85,5: 242.58,6: 240.12
Time: 18/20:30:58 Arduino 0: 0: 261.91,1: 256.99,2: 253.13,3: 248.91,4: 244.34,5: 241.52,6: 236.25
Time: 18/20:30:58 Arduino 0: 0: 261.56,1: 257.70,2: 251.72,3: 248.55,4: 243.98,5: 238.71,6: 236.25
Time: 18/20:30:58 Arduino 0: 0: 261.56,1: 256.99,2: 252.77,3: 247.15,4: 242.93,5: 239.06,6: 233.79
Time: 18/20:30:58 Arduino 0: 0: 261.56,1: 257.34,2: 251.72,3: 248.55,4: 242.58,5: 238.01,6: 234.84
Time: 18/20:30:58 Arduino 0: 0: 261.91,1: 256.99,2: 252.42,3: 247.15,4: 243.28,5: 238.01,6: 233.44
Time: 18/20:30:58 Arduino 0: 0: 261.91,1: 257.34,2: 252.42,3: 248.55,4: 242.23,5: 238.01,6: 233.44
Time: 18/20:30:58 Arduino 0: 0: 263.67,1: 259.10,2: 253.48,3: 248.20,4: 243.98,5: 237.66,6: 233.79
Time: 18/20:30:58 Arduino 0: 0: 266.48,1: 260.86,2: 255.59,3: 250.31,4: 243.98,5: 239.77,6: 233.79
Time: 18/20:30:58 Arduino 0: 0: 269.65,1: 264.02,2: 256.99,3: 252.07,4: 246.09,5: 239.41,6: 235.90
Time: 18/20:30:59 Arduino 0: 0: 272.81,1: 266.48,2: 260.51,3: 253.48,4: 247.50,5: 242.23,6: 235.20
Time: 18/20:30:59 Arduino 0: 0: 275.98,1: 269.65,2: 261.91,3: 256.99,4: 249.61,5: 242.93,6: 238.01
Time: 18/20:30:59 Arduino 0: 0: 278.79,1: 272.11,2: 265.43,3: 258.40,4: 252.07,5: 245.39,6: 238.36
Time: 18/20:30:59 Arduino 0: 0: 281.25,1: 274.22,2: 266.84,3: 261.56,4: 253.13,5: 247.15,6: 240.82
Time: 18/20:30:59 Arduino 0: 0: 284.06,1: 277.38,2: 269.65,3: 262.62,4: 256.64,5: 248.55,6: 242.23
Time: 18/20:30:59 Arduino 0: 0: 286.52,1: 279.49,2: 272.11,3: 265.78,4: 257.34,5: 251.37,6: 243.63
Time: 18/20:30:59 Arduino 0: 0: 289.69,1: 282.30,2: 273.87,3: 267.54,4: 260.16,5: 251.72,6: 246.09
Time: 18/20:30:59 Arduino 0: 0: 291.80,1: 284.41,2: 277.38,3: 269.65,4: 261.56,5: 254.88,6: 246.09
Time: 18/20:30:59 Arduino 0: 0: 294.96,1: 287.93,2: 278.79,3: 272.81,4: 264.38,5: 255.59,6: 249.96
Time: 18/20:30:59 Arduino 0: 0: 298.48,1: 290.74,2: 283.01,3: 274.22,4: 266.84,5: 258.75,6: 249.96
Time: 18/20:30:59 Arduino 0: 0: 299.88,1: 292.15,2: 283.71,3: 277.73,4: 267.89,5: 260.16,6: 253.13
Time: 18/20:30:59 Arduino 0: 0: 298.83,1: 292.85,2: 285.47,3: 277.38,4: 270.35,5: 261.56,6: 253.83
Time: 18/20:30:59 Arduino 0: 0: 299.18,1: 292.50,2: 285.47,3: 279.49,4: 270.00,5: 262.97,6: 255.23
Time: 18/20:30:59 Arduino 0: 0: 299.53,1: 293.20,2: 285.12,3: 278.79,4: 271.76,5: 262.62,6: 256.29
Time: 18/20:31:0 Arduino 0: 0: 299.18,1: 292.50,2: 286.52,3: 279.49,4: 271.05,5: 264.73,6: 255.94
Time: 18/20:31:0 Arduino 0: 0: 290.39,1: 285.12,2: 279.49,3: 275.98,4: 269.30,5: 261.56,6: 256.29
Time: 18/20:31:0 Arduino 0: 0: 266.48,1: 267.19,2: 267.19,3: 265.08,4: 261.91,5: 257.34,6: 251.02
Time: 18/20:31:0 Arduino 0: 0: 261.91,1: 260.51,2: 258.05,3: 258.05,4: 254.18,5: 250.66,6: 247.85
Time: 18/20:31:0 Arduino 0: 0: 261.56,1: 258.75,2: 255.23,3: 252.07,4: 250.31,5: 246.45,6: 242.58
Time: 18/20:31:0 Arduino 0: 0: 262.27,1: 257.70,2: 253.13,3: 250.66,4: 246.09,5: 243.63,6: 240.12
Time: 18/20:31:0 Arduino 0: 0: 261.56,1: 257.70,2: 252.77,3: 248.55,4: 245.74,5: 240.82,6: 238.01
Time: 18/20:31:0 Arduino 0: 0: 261.91,1: 256.99,2: 252.77,3: 248.55,4: 243.63,5: 240.82,6: 235.90
Time: 18/20:31:0 Arduino 0: 0: 261.21,1: 258.05,2: 252.07,3: 248.20,4: 244.34,5: 238.71,6: 236.25
Time: 18/20:31:0 Arduino 0: 0: 262.27,1: 257.34,2: 253.13,3: 248.20,4: 243.28,5: 239.41,6: 234.14
Time: 18/20:31:0 Arduino 0: 0: 262.62,1: 257.70,2: 252.07,3: 248.91,4: 243.28,5: 238.36,6: 235.55
Time: 18/20:31:0 Arduino 0: 0: 262.62,1: 258.05,2: 253.48,3: 247.85,4: 243.98,5: 239.06,6: 233.79
Time: 18/20:31:0 Arduino 0: 0: 265.08,1: 260.16,2: 254.18,3: 250.31,4: 243.63,5: 239.41,6: 235.20
Time: 18/20:31:1 Arduino 0: 0: 268.24,1: 262.97,2: 256.64,3: 250.66,4: 246.45,5: 239.77,6: 235.20
Time: 18/20:31:1 Arduino 0: 0: 272.11,1: 264.73,2: 259.10,3: 253.48,4: 246.45,5: 242.23,6: 236.25
Time: 18/20:31:1 Arduino 0: 0: 274.57,1: 268.95,2: 261.21,3: 255.23,4: 249.61,5: 242.58,6: 238.01
Time: 18/20:31:1 Arduino 0: 0: 277.73,1: 271.05,2: 264.73,3: 258.05,4: 251.02,5: 245.74,6: 238.36
Time: 18/20:31:1 Arduino 0: 0: 280.90,1: 274.57,2: 266.13,3: 260.86,4: 253.83,5: 246.45,6: 241.52
Time: 18/20:31:1 Arduino 0: 0: 283.36,1: 276.33,2: 269.65,3: 261.91,4: 255.59,5: 249.26,6: 241.52
