Time: 18/12:41:58 Arduino 0: 2
Time: 18/12:41:59 Arduino 0: 0: 287.93,1: 259.45,2: 241.17,3: 227.46,4: 215.86,5: 207.07,6: 201.45
Time: 18/12:41:59 Arduino 0: 0: 288.98,1: 275.98,2: 260.86,3: 247.50,4: 233.44,5: 221.13,6: 212.34
Time: 18/12:41:59 Arduino 0: 0: 290.39,1: 279.49,2: 268.59,3: 256.64,4: 244.69,5: 232.73,6: 221.48
Time: 18/12:41:59 Arduino 0: 0: 294.26,1: 283.36,2: 273.16,3: 263.32,4: 251.37,5: 240.47,6: 229.92
Time: 18/12:41:59 Arduino 0: 0: 295.31,1: 286.17,2: 275.98,3: 266.48,4: 256.64,5: 245.39,6: 235.55
Time: 18/12:41:59 Arduino 0: 0: 295.31,1: 286.17,2: 277.73,3: 268.95,4: 258.75,5: 249.26,6: 239.06
Time: 18/12:41:59 Arduino 0: 0: 281.60,1: 276.33,2: 270.00,3: 264.73,4: 257.34,5: 247.85,6: 240.12
Time: 18/12:41:59 Arduino 0: 0: 263.32,1: 262.27,2: 259.80,3: 256.64,4: 251.37,5: 245.39,6: 237.30
Time: 18/12:41:59 Arduino 0: 0: 261.56,1: 258.05,2: 253.48,3: 250.66,4: 246.45,5: 240.82,6: 235.20
Time: 18/12:41:59 Arduino 0: 0: 261.56,1: 257.34,2: 252.07,3: 246.80,4: 242.93,5: 238.01,6: 231.68
Time: 18/12:41:59 Arduino 0: 0: 262.27,1: 256.64,2: 250.31,3: 246.09,4: 240.47,5: 235.90,6: 230.98
Time: 18/12:41:59 Arduino 0: 0: 261.91,1: 256.99,2: 251.02,3: 245.04,4: 240.12,5: 234.49,6: 229.57
Time: 18/12:41:59 Arduino 0: 0: 262.27,1: 256.29,2: 250.66,3: 245.39,4: 239.06,5: 234.14,6: 228.87
Time: 18/12:42:0 Arduino 0: 0: 261.21,1: 256.64,2: 250.31,3: 245.04,4: 239.41,5: 233.09,6: 228.16
