Time: 18/12:42:50 Arduino 0: :
Time: 18/12:42:50 Arduino 0: 0: 262.27,1: 247.50,2: 236.95,3: 228.87,4: 220.43,5: 214.10,6: 209.18
Time: 18/12:42:51 Arduino 0: 0: 261.91,1: 255.23,2: 246.09,3: 238.36,4: 228.87,5: 221.48,6: 214.80
Time: 18/12:42:51 Arduino 0: 0: 261.56,1: 256.29,2: 248.91,3: 241.88,4: 234.84,5: 226.05,6: 219.02
Time: 18/12:42:51 Arduino 0: 0: 262.97,1: 255.59,2: 249.96,3: 243.98,4: 236.25,5: 229.57,6: 222.19
Time: 18/12:42:51 Arduino 0: 0: 261.56,1: 256.99,2: 250.31,3: 244.69,4: 238.36,5: 230.63,6: 224.30
Time: 18/12:42:51 Arduino 0: 0: 261.91,1: 256.29,2: 251.02,3: 245.04,4: 238.71,5: 232.73,6: 225.00
Time: 18/12:42:51 Arduino 0: 0: 261.56,1: 256.29,2: 249.96,3: 245.39,4: 239.41,5: 232.38,6: 226.76
Time: 18/12:42:51 Arduino 0: 0: 261.91,1: 255.94,2: 250.66,3: 244.69,4: 239.41,5: 233.09,6: 226.41
Time: 18/12:42:51 Arduino 0: 0: 261.56,1: 256.64,2: 250.31,3: 245.39,4: 238.71,5: 233.09,6: 227.11
Time: 18/12:42:51 Arduino 0: 0: 261.91,1: 257.34,2: 251.02,3: 245.04,4: 239.77,5: 233.09,6: 227.11
Time: 18/12:42:51 Arduino 0: 0: 261.91,1: 256.29,2: 251.02,3: 245.74,4: 239.06,5: 233.79,6: 227.81
Time: 18/12:42:51 Arduino 0: 0: 262.27,1: 256.99,2: 250.66,3: 245.39,4: 239.77,5: 233.09,6: 227.81
Time: 18/12:42:51 Arduino 0: 0: 262.27,1: 256.29,2: 251.02,3: 245.39,4: 239.41,5: 233.79,6: 227.11
Time: 18/12:42:51 Arduino 0: 0: 261.91,1: 256.99,2: 250.31,3: 245.39,4: 239.77,5: 233.09,6: 228.16
Time: 18/12:42:51 Arduino 0: 0: 261.91,1: 256.29,2: 251.02,3: 245.04,4: 239.41,5: 233.79,6: 227.11
Time: 18/12:42:52 Arduino 0: 0: 261.56,1: 256.64,2: 250.31,3: 245.39,4: 239.41,5: 233.44,6: 228.16
Time: 18/12:42:52 Arduino 0: 0: 261.91,1: 256.64,2: 251.02,3: 244.69,4: 239.77,5: 233.79,6: 227.46
Time: 18/12:42:52 Arduino 0: 0: 261.56,1: 255.94,2: 250.31,3: 245.39,4: 238.71,5: 233.79,6: 228.16
Time: 18/12:42:52 Arduino 0: 0: 262.62,1: 257.70,2: 251.37,3: 245.39,4: 240.12,5: 233.44,6: 228.16
Time: 18/12:42:52 Arduino 0: 0: 266.84,1: 260.51,2: 254.18,3: 247.85,4: 240.82,5: 234.84,6: 228.52
Time: 18/12:42:52 Arduino 0: 0: 272.46,1: 265.08,2: 256.64,3: 250.31,4: 243.63,5: 235.90,6: 230.27
Time: 18/12:42:52 Arduino 0: 0: 277.38,1: 269.30,2: 261.21,3: 253.48,4: 246.09,5: 239.06,6: 231.33
Time: 18/12:42:52 Arduino 0: 0: 281.60,1: 273.52,2: 264.38,3: 256.99,4: 249.26,5: 241.17,6: 234.14
Time: 18/12:42:52 Arduino 0: 0: 285.47,1: 277.38,2: 268.95,3: 259.80,4: 252.07,5: 244.34,6: 235.90
Time: 18/12:42:52 Arduino 0: 0: 290.39,1: 281.95,2: 272.11,3: 264.38,4: 254.88,5: 246.80,6: 239.06
Time: 18/12:42:52 Arduino 0: 0: 294.96,1: 286.17,2: 276.68,3: 267.54,4: 258.75,5: 249.61,6: 241.52
Time: 18/12:42:52 Arduino 0: 0: 299.53,1: 290.39,2: 280.55,3: 271.76,4: 261.56,5: 253.13,6: 244.34
Time: 18/12:42:52 Arduino 0: 0: 304.45,1: 294.61,2: 284.41,3: 275.63,4: 265.78,5: 255.23,6: 247.15
Time: 18/12:42:53 Arduino 0: 0: 308.67,1: 298.83,2: 288.98,3: 279.49,4: 268.95,5: 259.45,6: 249.26
Time: 18/12:42:53 Arduino 0: 0: 312.89,1: 303.75,2: 292.50,3: 283.36,4: 272.81,5: 261.91,6: 252.77
Time: 18/12:42:53 Arduino 0: 0: 316.41,1: 307.62,2: 297.42,3: 286.52,4: 276.33,5: 265.78,6: 254.88
Time: 18/12:42:53 Arduino 0: 0: 321.33,1: 312.19,2: 300.94,3: 291.45,4: 279.49,5: 268.59,6: 259.10
Time: 18/12:42:53 Arduino 0: 0: 323.79,1: 313.95,2: 304.80,3: 293.91,4: 283.01,5: 272.11,6: 261.56
Time: 18/12:42:53 Arduino 0: 0: 317.81,1: 309.02,2: 301.99,3: 293.91,4: 283.01,5: 273.16,6: 262.97
Time: 18/12:42:53 Arduino 0: 0: 294.96,1: 291.80,2: 289.69,3: 285.12,4: 278.44,5: 269.30,6: 261.21
