Time: 18/13:36:40 Arduino 0: 
Time: 18/13:36:40 Arduino 0: 0: 263.32,1: 242.58,2: 229.92,3: 220.43,4: 211.99,5: 205.31,6: 201.09
Time: 18/13:36:40 Arduino 0: 0: 263.67,1: 254.18,2: 245.04,3: 234.14,4: 224.30,5: 216.21,6: 207.77
Time: 18/13:36:40 Arduino 0: 0: 263.67,1: 255.59,2: 247.15,3: 240.12,4: 230.98,5: 222.19,6: 215.16
Time: 18/13:36:40 Arduino 0: 0: 262.97,1: 255.94,2: 249.96,3: 241.88,4: 235.20,5: 226.76,6: 218.32
Time: 18/13:36:40 Arduino 0: 0: 263.67,1: 256.64,2: 249.96,3: 244.34,4: 236.25,5: 229.22,6: 222.19
Time: 18/13:36:40 Arduino 0: 0: 263.32,1: 256.99,2: 250.66,3: 244.34,4: 238.36,5: 230.63,6: 223.95
Time: 18/13:36:40 Arduino 0: 0: 263.32,1: 256.99,2: 251.02,3: 245.39,4: 238.01,5: 232.03,6: 225.00
Time: 18/13:36:40 Arduino 0: 0: 262.97,1: 257.70,2: 250.66,3: 245.39,4: 239.77,5: 231.68,6: 226.05
Time: 18/13:36:40 Arduino 0: 0: 263.32,1: 256.64,2: 251.37,3: 245.39,4: 239.06,5: 233.09,6: 225.70
Time: 18/13:36:41 Arduino 0: 0: 263.32,1: 257.70,2: 250.66,3: 245.74,4: 239.77,5: 232.73,6: 227.46
Time: 18/13:36:41 Arduino 0: 0: 262.97,1: 257.70,2: 251.72,3: 244.69,4: 239.77,5: 233.79,6: 226.41
Time: 18/13:36:41 Arduino 0: 0: 264.02,1: 258.40,2: 251.72,3: 246.45,4: 239.77,5: 233.44,6: 227.81
Time: 18/13:36:41 Arduino 0: 0: 266.84,1: 260.86,2: 254.18,3: 246.80,4: 241.52,5: 234.49,6: 228.16
Time: 18/13:36:41 Arduino 0: 0: 269.65,1: 262.97,2: 255.94,3: 249.61,4: 241.88,5: 235.90,6: 229.22
Time: 18/13:36:41 Arduino 0: 0: 272.11,1: 265.43,2: 258.05,3: 251.02,4: 244.69,5: 236.25,6: 230.63
Time: 18/13:36:41 Arduino 0: 0: 274.92,1: 267.19,2: 260.16,3: 253.48,4: 245.74,5: 239.06,6: 231.33
Time: 18/13:36:41 Arduino 0: 0: 278.09,1: 270.35,2: 261.91,3: 255.59,4: 248.20,5: 239.77,6: 233.79
Time: 18/13:36:41 Arduino 0: 0: 279.49,1: 273.16,2: 265.08,3: 256.99,4: 249.96,5: 242.58,6: 233.79
Time: 18/13:36:41 Arduino 0: 0: 281.95,1: 275.27,2: 266.13,3: 259.80,4: 251.72,5: 243.63,6: 236.60
Time: 18/13:36:41 Arduino 0: 0: 284.77,1: 277.03,2: 269.30,3: 260.86,4: 253.48,5: 245.74,6: 237.66
Time: 18/13:36:41 Arduino 0: 0: 287.23,1: 279.14,2: 271.05,3: 263.67,4: 254.53,5: 247.15,6: 239.77
Time: 18/13:36:41 Arduino 0: 0: 288.63,1: 281.95,2: 273.16,3: 265.08,4: 257.34,5: 248.55,6: 241.17
Time: 18/13:36:42 Arduino 0: 0: 293.20,1: 284.06,2: 275.27,3: 267.54,4: 258.40,5: 250.66,6: 242.58
Time: 18/13:36:42 Arduino 0: 0: 295.31,1: 286.52,2: 277.03,3: 270.00,4: 261.21,5: 251.72,6: 244.69
Time: 18/13:36:42 Arduino 0: 0: 297.07,1: 287.93,2: 279.84,3: 271.76,4: 262.62,5: 254.88,6: 245.04
Time: 18/13:36:42 Arduino 0: 0: 296.72,1: 289.34,2: 279.84,3: 272.81,4: 264.38,5: 255.23,6: 247.85
Time: 18/13:36:42 Arduino 0: 0: 296.02,1: 288.98,2: 281.60,3: 272.46,4: 265.08,5: 256.64,6: 247.50
Time: 18/13:36:42 Arduino 0: 0: 296.37,1: 288.98,2: 280.90,3: 274.22,4: 264.73,5: 256.99,6: 249.26
