Time: 19/19:1:6 Arduino 0: 
Time: 19/19:1:6 Arduino 0: 0: 285.12,1: 259.80,2: 242.93,3: 230.63,4: 220.08,5: 211.99,6: 206.37
Time: 19/19:1:6 Arduino 0: 0: 285.47,1: 274.92,2: 260.86,3: 248.55,4: 236.95,5: 225.70,6: 218.67
Time: 19/19:1:6 Arduino 0: 0: 288.28,1: 279.14,2: 270.35,3: 259.45,4: 248.91,5: 238.71,6: 228.52
Time: 19/19:1:6 Arduino 0: 0: 291.09,1: 283.01,2: 274.22,3: 267.19,4: 256.99,5: 246.45,6: 238.01
Time: 19/19:1:7 Arduino 0: 0: 293.55,1: 285.82,2: 278.44,3: 270.35,4: 262.27,5: 253.13,6: 243.28
Time: 19/19:1:7 Arduino 0: 0: 297.07,1: 289.69,2: 281.60,3: 275.27,4: 265.78,5: 258.05,6: 249.26
Time: 19/19:1:7 Arduino 0: 0: 299.88,1: 292.85,2: 285.12,3: 277.73,4: 270.35,5: 260.86,6: 252.77
Time: 19/19:1:7 Arduino 0: 0: 300.94,1: 294.26,2: 287.23,3: 280.20,4: 271.41,5: 263.67,6: 254.53
Time: 19/19:1:7 Arduino 0: 0: 300.23,1: 294.26,2: 286.52,3: 280.55,4: 272.46,5: 263.32,6: 256.29
Time: 19/19:1:7 Arduino 0: 0: 300.23,1: 293.91,2: 287.93,3: 280.55,4: 272.81,5: 265.43,6: 256.29
Time: 19/19:1:7 Arduino 0: 0: 300.59,1: 294.61,2: 287.23,3: 281.95,4: 273.87,5: 265.43,6: 258.75
Time: 19/19:1:7 Arduino 0: 0: 300.23,1: 294.26,2: 287.93,3: 280.90,4: 274.22,5: 266.48,6: 258.40
Time: 19/19:1:7 Arduino 0: 0: 300.23,1: 294.61,2: 287.93,3: 282.30,4: 274.22,5: 266.84,6: 259.80
Time: 19/19:1:7 Arduino 0: 0: 299.53,1: 293.55,2: 287.58,3: 281.25,4: 274.92,5: 266.48,6: 259.45
Time: 19/19:1:7 Arduino 0: 0: 279.49,1: 277.73,2: 276.33,3: 273.87,4: 268.24,5: 263.32,6: 256.99
Time: 19/19:1:7 Arduino 0: 0: 264.38,1: 265.08,2: 264.38,3: 264.02,4: 261.56,5: 256.64,6: 253.13
Time: 19/19:1:7 Arduino 0: 0: 262.97,1: 260.16,2: 258.75,3: 256.64,4: 254.18,5: 251.72,6: 246.80
Time: 19/19:1:8 Arduino 0: 0: 263.32,1: 259.45,2: 254.88,3: 253.13,4: 249.96,5: 246.45,6: 244.69
Time: 19/19:1:8 Arduino 0: 0: 262.62,1: 258.75,2: 255.23,3: 251.02,4: 248.20,5: 245.39,6: 241.52
Time: 19/19:1:8 Arduino 0: 0: 263.32,1: 259.10,2: 254.53,3: 251.72,4: 247.15,5: 243.63,6: 241.17
Time: 19/19:1:8 Arduino 0: 0: 262.62,1: 259.10,2: 254.88,3: 250.31,4: 247.15,5: 242.93,6: 239.41
Time: 19/19:1:8 Arduino 0: 0: 262.97,1: 259.10,2: 254.53,3: 251.37,4: 246.09,5: 242.93,6: 239.06
Time: 19/19:1:8 Arduino 0: 0: 262.97,1: 259.45,2: 254.88,3: 250.31,4: 246.80,5: 241.52,6: 238.71
Time: 19/19:1:8 Arduino 0: 0: 263.32,1: 258.75,2: 254.88,3: 250.66,4: 245.74,5: 242.23,6: 237.66
Time: 19/19:1:8 Arduino 0: 0: 262.97,1: 259.45,2: 254.18,3: 250.66,4: 246.45,5: 241.52,6: 239.06
Time: 19/19:1:8 Arduino 0: 0: 262.97,1: 259.10,2: 255.23,3: 250.66,4: 246.45,5: 242.58,6: 237.66
Time: 19/19:1:8 Arduino 0: 0: 262.97,1: 258.75,2: 254.18,3: 251.02,4: 246.09,5: 241.52,6: 238.71
Time: 19/19:1:8 Arduino 0: 0: 262.97,1: 258.75,2: 254.53,3: 249.61,4: 246.09,5: 241.17,6: 236.60
Time: 19/19:1:8 Arduino 0: 0: 262.97,1: 258.75,2: 253.83,3: 249.96,4: 244.69,5: 240.82,6: 237.30
Time: 19/19:1:8 Arduino 0: 0: 263.67,1: 258.75,2: 254.18,3: 249.61,4: 245.74,5: 240.12,6: 236.60
Time: 19/19:1:8 Arduino 0: 0: 263.32,1: 258.40,2: 254.53,3: 249.96,4: 244.69,5: 241.17,6: 236.25
Time: 19/19:1:9 Arduino 0: 0: 263.32,1: 258.75,2: 253.83,3: 249.61,4: 245.74,5: 240.12,6: 236.95
Time: 19/19:1:9 Arduino 0: 0: 262.97,1: 258.40,2: 254.18,3: 249.61,4: 245.04,5: 241.17,6: 235.55
Time: 19/19:1:9 Arduino 0: 0: 263.32,1: 258.75,2: 253.48,3: 250.31,4: 245.04,5: 240.12,6: 236.95
Time: 19/19:1:9 Arduino 0: 0: 262.97,1: 258.40,2: 254.53,3: 249.26,4: 245.39,5: 240.82,6: 235.90
Time: 19/19:1:9 Arduino 0: 0: 262.97,1: 259.10,2: 253.83,3: 250.31,4: 244.69,5: 240.47,6: 236.60
Time: 19/19:1:9 Arduino 0: 0: 262.97,1: 259.10,2: 254.18,3: 249.61,4: 245.74,5: 240.47,6: 236.25
Time: 19/19:1:9 Arduino 0: 0: 263.32,1: 258.05,2: 254.18,3: 249.96,4: 244.69,5: 241.17,6: 236.25
