Time: 19/19:4:45 Arduino 0: 4
Time: 19/19:4:45 Arduino 0: 0: 262.62,1: 248.91,2: 239.41,3: 232.73,4: 226.05,5: 221.13,6: 217.27
Time: 19/19:4:45 Arduino 0: 0: 262.97,1: 255.94,2: 247.85,3: 241.52,4: 232.73,5: 226.41,6: 221.13
Time: 19/19:4:45 Arduino 0: 0: 263.67,1: 256.99,2: 250.66,3: 244.69,4: 238.71,5: 230.63,6: 225.00
Time: 19/19:4:45 Arduino 0: 0: 262.97,1: 256.99,2: 252.07,3: 246.80,4: 240.12,5: 234.84,6: 227.46
Time: 19/19:4:45 Arduino 0: 0: 262.97,1: 258.05,2: 252.07,3: 247.50,4: 242.58,5: 235.20,6: 230.63
Time: 19/19:4:45 Arduino 0: 0: 262.97,1: 257.70,2: 253.48,3: 247.85,4: 242.58,5: 237.66,6: 230.63
Time: 19/19:4:45 Arduino 0: 0: 262.97,1: 258.40,2: 252.42,3: 249.26,4: 243.28,5: 237.30,6: 233.09
Time: 19/19:4:46 Arduino 0: 0: 264.02,1: 259.80,2: 254.53,3: 248.55,4: 244.34,5: 238.71,6: 232.38
Time: 19/19:4:46 Arduino 0: 0: 267.54,1: 261.91,2: 255.59,3: 251.37,4: 244.69,5: 239.06,6: 234.49
Time: 19/19:4:46 Arduino 0: 0: 270.70,1: 264.73,2: 258.40,3: 252.07,4: 247.85,5: 240.47,6: 234.84
Time: 19/19:4:46 Arduino 0: 0: 274.57,1: 267.19,2: 261.21,3: 255.23,4: 247.85,5: 242.93,6: 236.25
Time: 19/19:4:46 Arduino 0: 0: 276.33,1: 271.41,2: 263.32,3: 256.99,4: 251.37,5: 243.63,6: 238.36
Time: 19/19:4:46 Arduino 0: 0: 279.49,1: 273.16,2: 266.48,3: 260.16,4: 252.77,5: 247.15,6: 238.71
Time: 19/19:4:46 Arduino 0: 0: 281.95,1: 276.33,2: 268.24,3: 262.62,4: 255.59,5: 248.20,6: 242.93
Time: 19/19:4:46 Arduino 0: 0: 285.12,1: 278.44,2: 272.11,3: 264.02,4: 258.05,5: 251.02,6: 242.93
Time: 19/19:4:46 Arduino 0: 0: 287.23,1: 280.90,2: 273.16,3: 267.54,4: 259.45,5: 252.42,6: 246.09
Time: 19/19:4:46 Arduino 0: 0: 290.39,1: 283.36,2: 276.33,3: 268.59,4: 262.27,5: 254.18,6: 246.80
Time: 19/19:4:46 Arduino 0: 0: 293.55,1: 285.47,2: 278.09,3: 271.76,4: 262.97,5: 256.64,6: 248.91
Time: 19/19:4:46 Arduino 0: 0: 295.31,1: 289.34,2: 280.90,3: 273.52,4: 266.48,5: 257.70,6: 251.02
Time: 19/19:4:46 Arduino 0: 0: 299.53,1: 291.80,2: 284.06,3: 277.03,4: 268.24,5: 260.86,6: 252.42
Time: 19/19:4:47 Arduino 0: 0: 300.94,1: 294.61,2: 285.82,3: 279.14,4: 271.05,5: 261.91,6: 255.59
Time: 19/19:4:47 Arduino 0: 0: 300.94,1: 294.26,2: 287.93,3: 280.20,4: 272.11,5: 264.73,6: 255.59
Time: 19/19:4:47 Arduino 0: 0: 300.59,1: 294.96,2: 287.58,3: 282.30,4: 273.87,5: 265.78,6: 259.45
Time: 19/19:4:47 Arduino 0: 0: 300.23,1: 294.61,2: 287.93,3: 280.55,4: 273.52,5: 264.38,6: 255.59
Time: 19/19:4:47 Arduino 0: 0: 299.88,1: 292.85,2: 285.82,3: 279.84,4: 270.70,5: 264.02,6: 256.64
Time: 19/19:4:47 Arduino 0: 0: 299.88,1: 293.91,2: 286.88,3: 279.84,4: 273.52,5: 264.73,6: 258.05
Time: 19/19:4:47 Arduino 0: 0: 299.53,1: 294.26,2: 288.28,3: 281.95,4: 273.87,5: 267.54,6: 259.45
Time: 19/19:4:47 Arduino 0: 0: 284.41,1: 282.30,2: 279.14,3: 276.33,4: 271.41,5: 264.02,6: 259.10
Time: 19/19:4:47 Arduino 0: 0: 265.08,1: 266.13,2: 267.54,3: 266.13,4: 262.97,5: 259.45,6: 253.13
Time: 19/19:4:47 Arduino 0: 0: 261.91,1: 261.21,2: 258.75,3: 258.40,4: 255.94,5: 251.72,6: 249.61
Time: 19/19:4:47 Arduino 0: 0: 262.62,1: 259.80,2: 256.29,3: 252.77,4: 250.66,5: 247.85,6: 243.98
Time: 19/19:4:47 Arduino 0: 0: 263.32,1: 258.75,2: 254.18,3: 251.72,4: 246.80,5: 243.98,6: 241.17
Time: 19/19:4:47 Arduino 0: 0: 262.97,1: 258.75,2: 254.18,3: 249.61,4: 246.80,5: 242.23,6: 238.71
Time: 19/19:4:47 Arduino 0: 0: 262.62,1: 258.40,2: 254.18,3: 250.31,4: 244.69,5: 242.23,6: 238.01
Time: 19/19:4:48 Arduino 0: 0: 263.67,1: 259.45,2: 253.83,3: 249.96,4: 246.09,5: 240.82,6: 238.01
Time: 19/19:4:48 Arduino 0: 0: 263.32,1: 258.40,2: 254.88,3: 249.96,4: 245.04,5: 241.52,6: 236.25
Time: 19/19:4:48 Arduino 0: 0: 262.97,1: 259.10,2: 253.83,3: 249.96,4: 245.39,5: 240.12,6: 237.30
Time: 19/19:4:48 Arduino 0: 0: 262.62,1: 258.75,2: 254.53,3: 249.26,4: 245.39,5: 240.82,6: 235.55
Time: 19/19:4:48 Arduino 0: 0: 265.08,1: 260.16,2: 254.53,3: 251.02,4: 245.04,5: 240.47,6: 236.95
Time: 19/19:4:48 Arduino 0: 0: 268.24,1: 262.62,2: 257.70,3: 251.37,4: 247.15,5: 241.17,6: 236.60
Time: 19/19:4:48 Arduino 0: 0: 270.70,1: 265.43,2: 259.45,3: 254.18,4: 247.50,5: 242.93,6: 237.66
Time: 19/19:4:48 Arduino 0: 0: 274.57,1: 268.59,2: 261.21,3: 255.59,4: 250.31,5: 242.93,6: 238.71
