Time: 19/19:7:35 Arduino 0: 4
Time: 19/19:7:35 Arduino 0: 0: 263.32,1: 246.80,2: 236.95,3: 228.16,4: 220.43,5: 213.75,6: 210.23
Time: 19/19:7:35 Arduino 0: 0: 263.32,1: 255.94,2: 246.09,3: 238.36,4: 229.92,5: 220.78,6: 216.56
Time: 19/19:7:35 Arduino 0: 0: 262.62,1: 256.64,2: 250.66,3: 242.58,4: 235.20,5: 227.46,6: 219.38
Time: 19/19:7:35 Arduino 0: 0: 262.97,1: 257.70,2: 251.02,3: 246.09,4: 238.36,5: 230.27,6: 224.65
Time: 19/19:7:36 Arduino 0: 0: 262.97,1: 257.70,2: 252.42,3: 246.09,4: 241.17,5: 233.79,6: 226.41
Time: 19/19:7:36 Arduino 0: 0: 262.97,1: 257.34,2: 252.42,3: 248.20,4: 241.17,5: 235.90,6: 229.92
Time: 19/19:7:36 Arduino 0: 0: 262.97,1: 258.40,2: 253.13,3: 247.50,4: 243.63,5: 236.25,6: 230.98
Time: 19/19:7:36 Arduino 0: 0: 263.32,1: 257.70,2: 253.48,3: 248.55,4: 242.58,5: 238.01,6: 231.68
Time: 19/19:7:36 Arduino 0: 0: 262.97,1: 258.75,2: 252.77,3: 248.55,4: 243.98,5: 237.30,6: 233.44
Time: 19/19:7:36 Arduino 0: 0: 262.97,1: 258.40,2: 254.18,3: 248.91,4: 243.63,5: 239.06,6: 232.38
Time: 19/19:7:36 Arduino 0: 0: 262.97,1: 258.75,2: 253.13,3: 249.26,4: 243.98,5: 238.01,6: 234.14
Time: 19/19:7:36 Arduino 0: 0: 263.32,1: 258.40,2: 253.83,3: 248.20,4: 243.98,5: 238.36,6: 232.38
Time: 19/19:7:36 Arduino 0: 0: 263.32,1: 258.40,2: 252.77,3: 249.26,4: 242.93,5: 238.01,6: 233.44
Time: 19/19:7:36 Arduino 0: 0: 262.97,1: 258.40,2: 253.48,3: 247.85,4: 243.98,5: 237.66,6: 232.38
Time: 19/19:7:36 Arduino 0: 0: 263.32,1: 258.05,2: 253.13,3: 248.55,4: 242.23,5: 238.01,6: 232.03
Time: 19/19:7:36 Arduino 0: 0: 262.97,1: 258.75,2: 252.77,3: 247.85,4: 243.28,5: 236.60,6: 232.73
Time: 19/19:7:36 Arduino 0: 0: 263.67,1: 257.70,2: 253.83,3: 248.55,4: 242.93,5: 238.71,6: 232.03
Time: 19/19:7:36 Arduino 0: 0: 263.32,1: 258.75,2: 252.77,3: 248.91,4: 243.98,5: 237.66,6: 233.79
Time: 19/19:7:37 Arduino 0: 0: 262.97,1: 258.05,2: 253.83,3: 247.85,4: 243.28,5: 238.36,6: 232.03
Time: 19/19:7:37 Arduino 0: 0: 262.97,1: 258.75,2: 252.77,3: 249.26,4: 243.28,5: 238.01,6: 234.14
Time: 19/19:7:37 Arduino 0: 0: 262.62,1: 258.40,2: 253.83,3: 248.20,4: 244.34,5: 238.36,6: 232.73
Time: 19/19:7:37 Arduino 0: 0: 262.62,1: 258.40,2: 253.48,3: 248.91,4: 242.93,5: 238.36,6: 233.09
Time: 19/19:7:37 Arduino 0: 0: 262.97,1: 258.75,2: 253.13,3: 247.85,4: 243.98,5: 236.95,6: 232.73
Time: 19/19:7:37 Arduino 0: 0: 263.67,1: 257.70,2: 253.13,3: 248.20,4: 242.23,5: 237.66,6: 231.33
Time: 19/19:7:37 Arduino 0: 0: 263.32,1: 258.40,2: 252.07,3: 247.15,4: 242.23,5: 235.55,6: 231.33
Time: 19/19:7:37 Arduino 0: 0: 262.97,1: 257.70,2: 253.13,3: 246.80,4: 241.52,5: 236.95,6: 229.92
Time: 19/19:7:37 Arduino 0: 0: 262.97,1: 258.75,2: 252.42,3: 248.55,4: 242.58,5: 236.60,6: 232.38
Time: 19/19:7:37 Arduino 0: 0: 262.97,1: 258.05,2: 253.83,3: 247.85,4: 243.63,5: 238.01,6: 232.03
Time: 19/19:7:37 Arduino 0: 0: 262.97,1: 258.75,2: 253.48,3: 249.26,4: 243.28,5: 238.71,6: 233.79
Time: 19/19:7:37 Arduino 0: 0: 262.62,1: 259.10,2: 254.18,3: 248.91,4: 245.04,5: 238.71,6: 233.79
Time: 19/19:7:37 Arduino 0: 0: 262.97,1: 259.45,2: 254.18,3: 249.61,4: 243.63,5: 239.77,6: 233.79
Time: 19/19:7:38 Arduino 0: 0: 262.97,1: 259.10,2: 253.48,3: 248.91,4: 244.69,5: 238.01,6: 234.49
Time: 19/19:7:38 Arduino 0: 0: 262.97,1: 258.05,2: 254.18,3: 248.91,4: 244.34,5: 239.41,6: 233.09
Time: 19/19:7:38 Arduino 0: 0: 262.97,1: 258.75,2: 253.13,3: 249.61,4: 244.69,5: 238.71,6: 235.55
Time: 19/19:7:38 Arduino 0: 0: 262.97,1: 258.40,2: 254.53,3: 248.91,4: 244.34,5: 239.77,6: 233.79
Time: 19/19:7:38 Arduino 0: 0: 262.97,1: 258.75,2: 253.48,3: 249.61,4: 243.98,5: 239.06,6: 235.20
Time: 19/19:7:38 Arduino 0: 0: 263.32,1: 258.75,2: 253.83,3: 248.91,4: 244.69,5: 239.06,6: 233.79
Time: 19/19:7:38 Arduino 0: 0: 263.32,1: 258.05,2: 253.13,3: 249.26,4: 243.28,5: 239.06,6: 234.14
Time: 19/19:7:38 Arduino 0: 0: 263.32,1: 258.40,2: 253.13,3: 248.20,4: 244.34,5: 237.66,6: 233.79
Time: 19/19:7:38 Arduino 0: 0: 262.97,1: 257.70,2: 253.48,3: 248.55,4: 242.93,5: 239.06,6: 233.09
Time: 19/19:7:38 Arduino 0: 0: 262.97,1: 259.10,2: 252.77,3: 248.91,4: 244.34,5: 238.01,6: 234.84
Time: 19/19:7:38 Arduino 0: 0: 263.32,1: 258.75,2: 254.18,3: 248.55,4: 243.98,5: 239.41,6: 233.09
Time: 19/19:7:38 Arduino 0: 0: 263.67,1: 258.75,2: 253.13,3: 249.61,4: 243.98,5: 238.71,6: 234.84
Time: 19/19:7:38 Arduino 0: 0: 262.62,1: 258.75,2: 254.18,3: 248.55,4: 244.69,5: 239.41,6: 233.79
Time: 19/19:7:38 Arduino 0: 0: 263.32,1: 258.75,2: 253.13,3: 249.61,4: 243.28,5: 239.06,6: 234.49
Time: 19/19:7:39 Arduino 0: 0: 263.32,1: 258.40,2: 253.48,3: 248.55,4: 244.34,5: 238.36,6: 234.14
Time: 19/19:7:39 Arduino 0: 0: 262.97,1: 258.05,2: 253.83,3: 249.26,4: 243.28,5: 239.77,6: 233.79
Time: 19/19:7:39 Arduino 0: 0: 262.97,1: 259.10,2: 253.13,3: 248.91,4: 244.34,5: 238.01,6: 234.84
Time: 19/19:7:39 Arduino 0: 0: 263.32,1: 258.40,2: 254.18,3: 248.91,4: 243.63,5: 239.41,6: 233.09
Time: 19/19:7:39 Arduino 0: 0: 263.32,1: 258.40,2: 252.77,3: 249.26,4: 243.98,5: 238.36,6: 234.84
Time: 19/19:7:39 Arduino 0: 0: 262.62,1: 258.40,2: 254.18,3: 248.20,4: 243.98,5: 239.06,6: 233.09
Time: 19/19:7:39 Arduino 0: 0: 263.32,1: 258.75,2: 253.13,3: 249.61,4: 243.28,5: 238.71,6: 234.49
Time: 19/19:7:39 Arduino 0: 0: 263.32,1: 258.75,2: 253.83,3: 248.20,4: 244.69,5: 238.71,6: 233.79
Time: 19/19:7:39 Arduino 0: 0: 262.97,1: 258.05,2: 253.48,3: 249.26,4: 243.28,5: 239.41,6: 233.79
Time: 19/19:7:39 Arduino 0: 0: 262.97,1: 258.75,2: 253.13,3: 248.55,4: 244.34,5: 238.01,6: 234.49
Time: 19/19:7:39 Arduino 0: 0: 262.97,1: 258.05,2: 253.83,3: 248.91,4: 243.63,5: 239.41,6: 233.09
Time: 19/19:7:39 Arduino 0: 0: 263.67,1: 258.75,2: 252.77,3: 248.91,4: 243.98,5: 238.01,6: 235.55
Time: 19/19:7:39 Arduino 0: 0: 262.62,1: 258.40,2: 254.18,3: 248.20,4: 243.63,5: 239.06,6: 232.73
Time: 19/19:7:40 Arduino 0: 0: 262.97,1: 258.40,2: 252.77,3: 249.26,4: 243.63,5: 238.36,6: 234.49
Time: 19/19:7:40 Arduino 0: 0: 262.97,1: 258.40,2: 253.48,3: 247.85,4: 244.34,5: 238.71,6: 233.44
Time: 19/19:7:40 Arduino 0: 0: 263.32,1: 258.05,2: 253.13,3: 249.26,4: 242.93,5: 238.71,6: 233.79
Time: 19/19:7:40 Arduino 0: 0: 262.97,1: 258.75,2: 253.48,3: 248.20,4: 244.34,5: 238.01,6: 233.79
Time: 19/19:7:40 Arduino 0: 0: 263.32,1: 258.05,2: 253.48,3: 248.91,4: 243.28,5: 239.06,6: 233.44
Time: 19/19:7:40 Arduino 0: 0: 262.97,1: 258.75,2: 252.77,3: 248.91,4: 244.34,5: 238.01,6: 234.84
Time: 19/19:7:40 Arduino 0: 0: 263.32,1: 258.40,2: 254.18,3: 248.55,4: 243.63,5: 239.41,6: 233.09
Time: 19/19:7:40 Arduino 0: 0: 262.97,1: 258.75,2: 253.13,3: 249.26,4: 243.98,5: 238.36,6: 234.84
Time: 19/19:7:40 Arduino 0: 0: 262.97,1: 258.40,2: 253.83,3: 248.20,4: 244.34,5: 238.71,6: 233.09
Time: 19/19:7:40 Arduino 0: 0: 262.97,1: 258.40,2: 253.13,3: 249.26,4: 242.93,5: 238.71,6: 234.14
Time: 19/19:7:40 Arduino 0: 0: 263.32,1: 258.40,2: 253.48,3: 248.20,4: 244.34,5: 238.36,6: 233.44
Time: 19/19:7:40 Arduino 0: 0: 263.32,1: 258.05,2: 253.48,3: 248.91,4: 243.28,5: 239.06,6: 233.44
Time: 19/19:7:40 Arduino 0: 0: 262.97,1: 258.75,2: 253.13,3: 248.55,4: 244.34,5: 238.01,6: 234.49
Time: 19/19:7:40 Arduino 0: 0: 263.32,1: 258.05,2: 254.18,3: 248.91,4: 243.28,5: 239.41,6: 233.09
Time: 19/19:7:41 Arduino 0: 0: 262.62,1: 258.75,2: 253.13,3: 248.91,4: 243.98,5: 238.36,6: 234.84
Time: 19/19:7:41 Arduino 0: 0: 263.32,1: 258.40,2: 254.18,3: 248.20,4: 243.98,5: 239.06,6: 233.09
Time: 19/19:7:41 Arduino 0: 0: 263.32,1: 258.75,2: 253.13,3: 249.61,4: 243.28,5: 238.71,6: 234.49
Time: 19/19:7:41 Arduino 0: 0: 265.78,1: 260.86,2: 255.23,3: 249.26,4: 245.39,5: 239.06,6: 233.79
Time: 19/19:7:41 Arduino 0: 0: 268.59,1: 262.97,2: 256.99,3: 251.72,4: 245.04,5: 240.47,6: 234.84
Time: 19/19:7:41 Arduino 0: 0: 271.76,1: 265.78,2: 259.10,3: 253.13,4: 248.20,5: 240.82,6: 236.25
Time: 19/19:7:41 Arduino 0: 0: 274.92,1: 267.19,2: 261.91,3: 255.59,4: 248.55,5: 243.63,6: 236.60
Time: 19/19:7:41 Arduino 0: 0: 276.68,1: 271.41,2: 263.32,3: 257.70,4: 251.72,5: 243.98,6: 239.41
Time: 19/19:7:41 Arduino 0: 0: 280.20,1: 273.52,2: 267.19,3: 259.80,4: 253.48,5: 247.15,6: 239.41
Time: 19/19:7:41 Arduino 0: 0: 283.36,1: 276.68,2: 268.59,3: 262.97,4: 255.59,5: 248.20,6: 242.93
Time: 19/19:7:41 Arduino 0: 0: 285.47,1: 278.79,2: 272.11,3: 264.02,4: 258.05,5: 250.66,6: 243.28
Time: 19/19:7:41 Arduino 0: 0: 287.93,1: 280.90,2: 273.52,3: 267.54,4: 259.10,5: 252.42,6: 245.74
Time: 19/19:7:41 Arduino 0: 0: 291.09,1: 284.06,2: 275.98,3: 268.95,4: 262.62,5: 253.83,6: 247.15
Time: 19/19:7:41 Arduino 0: 0: 293.91,1: 286.52,2: 279.14,3: 272.11,4: 263.32,5: 256.99,6: 248.91
Time: 19/19:7:42 Arduino 0: 0: 297.07,1: 290.04,2: 281.25,3: 274.22,4: 266.84,5: 257.70,6: 251.72
Time: 19/19:7:42 Arduino 0: 0: 300.23,1: 292.50,2: 285.12,3: 277.03,4: 268.59,5: 261.21,6: 252.07
Time: 19/19:7:42 Arduino 0: 0: 300.23,1: 294.26,2: 285.47,3: 279.49,4: 270.70,5: 261.91,6: 255.59
Time: 19/19:7:42 Arduino 0: 0: 300.23,1: 293.55,2: 287.23,3: 279.49,4: 272.11,5: 264.02,6: 255.23
Time: 19/19:7:42 Arduino 0: 0: 300.23,1: 294.26,2: 286.88,3: 280.90,4: 272.11,5: 264.73,6: 257.34
Time: 19/19:7:42 Arduino 0: 0: 299.88,1: 294.61,2: 287.58,3: 280.20,4: 273.87,5: 264.73,6: 257.34
Time: 19/19:7:42 Arduino 0: 0: 299.88,1: 294.61,2: 287.93,3: 281.60,4: 272.81,5: 266.13,6: 258.40
Time: 19/19:7:42 Arduino 0: 0: 286.88,1: 283.01,2: 279.14,3: 275.27,4: 270.35,5: 262.62,6: 256.99
Time: 19/19:7:42 Arduino 0: 0: 265.43,1: 266.48,2: 267.19,3: 265.43,4: 261.91,5: 258.40,6: 252.07
Time: 19/19:7:42 Arduino 0: 0: 262.62,1: 261.21,2: 258.40,3: 258.05,4: 255.59,5: 251.37,6: 248.91
Time: 19/19:7:42 Arduino 0: 0: 262.97,1: 259.10,2: 256.29,3: 252.77,4: 250.31,5: 247.85,6: 243.28
Time: 19/19:7:42 Arduino 0: 0: 262.97,1: 258.75,2: 253.83,3: 251.37,4: 247.15,5: 243.98,6: 241.52
Time: 19/19:7:42 Arduino 0: 0: 262.97,1: 259.10,2: 254.53,3: 249.61,4: 246.80,5: 242.23,6: 238.36
Time: 19/19:7:43 Arduino 0: 0: 263.32,1: 258.40,2: 253.83,3: 249.96,4: 244.69,5: 241.52,6: 237.66
Time: 19/19:7:43 Arduino 0: 0: 263.32,1: 259.10,2: 253.83,3: 248.91,4: 245.39,5: 239.77,6: 236.95
Time: 19/19:7:43 Arduino 0: 0: 262.62,1: 258.40,2: 254.18,3: 249.26,4: 243.98,5: 240.82,6: 235.55
Time: 19/19:7:43 Arduino 0: 0: 262.97,1: 259.10,2: 253.13,3: 249.26,4: 245.04,5: 239.06,6: 236.60
Time: 19/19:7:43 Arduino 0: 0: 263.32,1: 258.40,2: 254.18,3: 248.91,4: 244.34,5: 240.47,6: 234.49
Time: 19/19:7:43 Arduino 0: 0: 262.97,1: 259.10,2: 253.13,3: 249.96,4: 244.34,5: 239.41,6: 236.25
Time: 19/19:7:43 Arduino 0: 0: 262.62,1: 258.75,2: 254.18,3: 248.55,4: 244.69,5: 239.77,6: 234.49
Time: 19/19:7:43 Arduino 0: 0: 263.32,1: 258.75,2: 253.48,3: 249.61,4: 243.63,5: 239.41,6: 235.55
Time: 19/19:7:43 Arduino 0: 0: 263.67,1: 258.75,2: 253.83,3: 248.55,4: 244.69,5: 239.06,6: 234.84
Time: 19/19:7:43 Arduino 0: 0: 263.32,1: 258.05,2: 254.88,3: 249.26,4: 243.63,5: 240.12,6: 234.49
Time: 19/19:7:43 Arduino 0: 0: 262.97,1: 258.75,2: 253.13,3: 248.91,4: 244.69,5: 238.71,6: 235.55
Time: 19/19:7:43 Arduino 0: 0: 262.97,1: 258.05,2: 254.18,3: 248.91,4: 243.63,5: 239.77,6: 233.79
Time: 19/19:7:43 Arduino 0: 0: 262.97,1: 258.75,2: 253.13,3: 249.26,4: 244.34,5: 238.71,6: 235.55
Time: 19/19:7:43 Arduino 0: 0: 262.27,1: 258.40,2: 254.18,3: 248.20,4: 244.34,5: 239.41,6: 233.79
Time: 19/19:7:44 Arduino 0: 0: 262.97,1: 258.75,2: 253.13,3: 250.31,4: 243.63,5: 238.71,6: 234.84
Time: 19/19:7:44 Arduino 0: 0: 262.62,1: 258.75,2: 253.83,3: 248.55,4: 244.69,5: 239.06,6: 234.14
Time: 19/19:7:44 Arduino 0: 0: 262.97,1: 258.05,2: 253.48,3: 249.26,4: 243.28,5: 239.77,6: 234.49
Time: 19/19:7:44 Arduino 0: 0: 262.97,1: 259.10,2: 253.48,3: 248.55,4: 244.69,5: 238.36,6: 234.84
Time: 19/19:7:44 Arduino 0: 0: 262.97,1: 258.05,2: 253.83,3: 249.26,4: 243.98,5: 239.77,6: 233.79
Time: 19/19:7:44 Arduino 0: 0: 262.97,1: 258.75,2: 253.13,3: 249.26,4: 244.34,5: 238.71,6: 235.55
Time: 19/19:7:44 Arduino 0: 0: 262.97,1: 258.40,2: 254.18,3: 248.20,4: 243.98,5: 239.41,6: 233.44
Time: 19/19:7:44 Arduino 0: 0: 262.97,1: 258.75,2: 253.13,3: 249.61,4: 243.98,5: 238.71,6: 234.84
Time: 19/19:7:44 Arduino 0: 0: 262.97,1: 258.40,2: 253.83,3: 248.20,4: 244.69,5: 239.06,6: 233.79
Time: 19/19:7:44 Arduino 0: 0: 263.32,1: 257.70,2: 253.13,3: 249.26,4: 242.93,5: 239.06,6: 234.14
Time: 19/19:7:44 Arduino 0: 0: 262.62,1: 258.40,2: 253.48,3: 248.20,4: 244.34,5: 238.36,6: 234.14
Time: 19/19:7:44 Arduino 0: 0: 262.97,1: 258.40,2: 253.83,3: 249.26,4: 243.28,5: 239.41,6: 233.44
Time: 19/19:7:44 Arduino 0: 0: 262.97,1: 258.75,2: 252.77,3: 248.91,4: 244.34,5: 238.36,6: 234.84
Time: 19/19:7:45 Arduino 0: 0: 263.32,1: 258.05,2: 253.83,3: 248.55,4: 243.63,5: 239.41,6: 233.09
Time: 19/19:7:45 Arduino 0: 0: 262.97,1: 258.75,2: 252.77,3: 249.26,4: 243.98,5: 238.36,6: 234.84
Time: 19/19:7:45 Arduino 0: 0: 262.62,1: 258.40,2: 253.83,3: 248.20,4: 244.34,5: 239.06,6: 233.44
Time: 19/19:7:45 Arduino 0: 0: 262.97,1: 258.05,2: 253.13,3: 249.26,4: 242.93,5: 238.71,6: 234.49
Time: 19/19:7:45 Arduino 0: 0: 262.97,1: 258.40,2: 253.48,3: 248.20,4: 244.69,5: 238.36,6: 233.79
Time: 19/19:7:45 Arduino 0: 0: 262.97,1: 258.40,2: 253.48,3: 249.26,4: 243.28,5: 239.41,6: 233.79
Time: 19/19:7:45 Arduino 0: 0: 262.97,1: 258.75,2: 253.13,3: 248.55,4: 244.34,5: 238.01,6: 234.49
Time: 19/19:7:45 Arduino 0: 0: 263.67,1: 258.05,2: 253.83,3: 248.91,4: 243.63,5: 239.41,6: 233.09
Time: 19/19:7:45 Arduino 0: 0: 262.97,1: 258.75,2: 252.77,3: 248.91,4: 243.98,5: 238.36,6: 234.84
Time: 19/19:7:45 Arduino 0: 0: 262.97,1: 258.05,2: 253.83,3: 247.85,4: 243.98,5: 239.06,6: 233.09
Time: 19/19:7:45 Arduino 0: 0: 262.97,1: 258.40,2: 253.13,3: 249.26,4: 243.28,5: 238.71,6: 234.49
Time: 19/19:7:45 Arduino 0: 0: 263.32,1: 258.40,2: 253.48,3: 248.20,4: 244.34,5: 238.71,6: 233.79
Time: 19/19:7:45 Arduino 0: 0: 262.62,1: 258.40,2: 253.48,3: 249.26,4: 242.93,5: 239.06,6: 233.79
Time: 19/19:7:45 Arduino 0: 0: 263.32,1: 259.10,2: 253.13,3: 248.55,4: 244.34,5: 238.01,6: 234.14
Time: 19/19:7:46 Arduino 0: 0: 262.97,1: 257.70,2: 253.83,3: 248.91,4: 243.28,5: 239.41,6: 233.09
Time: 19/19:7:46 Arduino 0: 0: 262.62,1: 258.75,2: 252.77,3: 248.91,4: 243.98,5: 238.01,6: 234.84
Time: 19/19:7:46 Arduino 0: 0: 262.97,1: 258.40,2: 253.83,3: 248.20,4: 243.63,5: 239.06,6: 233.09
Time: 19/19:7:46 Arduino 0: 0: 262.97,1: 258.75,2: 252.77,3: 249.26,4: 243.63,5: 238.36,6: 234.49
Time: 19/19:7:46 Arduino 0: 0: 262.97,1: 258.40,2: 253.83,3: 247.85,4: 244.34,5: 238.71,6: 233.44
Time: 19/19:7:46 Arduino 0: 0: 262.27,1: 258.05,2: 253.13,3: 248.91,4: 242.93,5: 238.71,6: 234.14
Time: 19/19:7:46 Arduino 0: 0: 263.67,1: 258.40,2: 253.13,3: 248.20,4: 244.34,5: 238.01,6: 233.79
Time: 19/19:7:46 Arduino 0: 0: 262.97,1: 257.70,2: 253.48,3: 248.91,4: 242.93,5: 239.41,6: 233.44
Time: 19/19:7:46 Arduino 0: 0: 262.97,1: 258.40,2: 252.77,3: 248.55,4: 243.98,5: 238.01,6: 234.49
Time: 19/19:7:46 Arduino 0: 0: 263.32,1: 258.05,2: 253.83,3: 248.55,4: 243.28,5: 239.06,6: 232.73
Time: 19/19:7:46 Arduino 0: 0: 262.97,1: 258.75,2: 252.77,3: 249.26,4: 243.98,5: 238.36,6: 234.49
Time: 19/19:7:46 Arduino 0: 0: 263.32,1: 258.05,2: 253.83,3: 248.20,4: 243.98,5: 239.06,6: 233.09
Time: 19/19:7:46 Arduino 0: 0: 262.62,1: 258.40,2: 253.13,3: 249.26,4: 243.28,5: 238.71,6: 234.14
Time: 19/19:7:47 Arduino 0: 0: 262.62,1: 258.75,2: 253.48,3: 248.20,4: 244.69,5: 238.36,6: 233.79
Time: 19/19:7:47 Arduino 0: 0: 262.97,1: 258.05,2: 253.48,3: 249.26,4: 243.28,5: 239.41,6: 233.79
Time: 19/19:7:47 Arduino 0: 0: 262.97,1: 258.75,2: 253.13,3: 248.55,4: 244.34,5: 238.01,6: 234.49
Time: 19/19:7:47 Arduino 0: 0: 262.97,1: 258.40,2: 254.18,3: 248.91,4: 243.63,5: 239.41,6: 233.09
Time: 19/19:7:47 Arduino 0: 0: 262.97,1: 258.75,2: 252.77,3: 249.26,4: 243.98,5: 238.01,6: 234.84
Time: 19/19:7:47 Arduino 0: 0: 263.67,1: 258.05,2: 253.83,3: 248.91,4: 243.63,5: 239.06,6: 233.09
Time: 19/19:7:47 Arduino 0: 0: 262.97,1: 258.75,2: 253.13,3: 249.26,4: 243.28,5: 238.71,6: 234.49
Time: 19/19:7:47 Arduino 0: 0: 262.97,1: 258.40,2: 253.83,3: 248.20,4: 244.69,5: 238.71,6: 233.79
Time: 19/19:7:47 Arduino 0: 0: 263.32,1: 258.05,2: 253.13,3: 249.26,4: 243.28,5: 239.06,6: 234.14
Time: 19/19:7:47 Arduino 0: 0: 262.97,1: 258.75,2: 253.13,3: 248.55,4: 244.34,5: 238.01,6: 234.14
Time: 19/19:7:47 Arduino 0: 0: 262.97,1: 258.40,2: 253.83,3: 248.91,4: 243.28,5: 239.41,6: 233.09
Time: 19/19:7:47 Arduino 0: 0: 263.67,1: 258.75,2: 252.77,3: 248.91,4: 244.34,5: 238.01,6: 234.84
Time: 19/19:7:47 Arduino 0: 0: 262.97,1: 258.05,2: 253.83,3: 248.20,4: 243.63,5: 239.41,6: 233.09
Time: 19/19:7:47 Arduino 0: 0: 262.97,1: 258.75,2: 253.13,3: 249.26,4: 243.63,5: 238.36,6: 234.49
Time: 19/19:7:48 Arduino 0: 0: 262.97,1: 258.75,2: 253.83,3: 248.20,4: 244.34,5: 238.71,6: 233.44
Time: 19/19:7:48 Arduino 0: 0: 262.97,1: 258.40,2: 253.13,3: 249.26,4: 242.93,5: 238.71,6: 234.14
Time: 19/19:7:48 Arduino 0: 0: 263.32,1: 258.40,2: 253.48,3: 248.20,4: 244.34,5: 238.36,6: 234.14
Time: 19/19:7:48 Arduino 0: 0: 263.32,1: 257.70,2: 253.48,3: 248.55,4: 242.93,5: 239.06,6: 233.44
Time: 19/19:7:48 Arduino 0: 0: 262.97,1: 258.40,2: 252.77,3: 248.55,4: 244.34,5: 238.01,6: 234.49
Time: 19/19:7:48 Arduino 0: 0: 262.97,1: 258.05,2: 253.83,3: 248.55,4: 243.28,5: 239.06,6: 232.73
Time: 19/19:7:48 Arduino 0: 0: 262.97,1: 258.40,2: 252.77,3: 249.26,4: 243.63,5: 238.01,6: 234.49
Time: 19/19:7:48 Arduino 0: 0: 262.62,1: 258.40,2: 253.83,3: 247.85,4: 243.98,5: 238.71,6: 233.09
Time: 19/19:7:48 Arduino 0: 0: 263.67,1: 258.40,2: 253.13,3: 249.26,4: 243.28,5: 238.71,6: 234.49
Time: 19/19:7:48 Arduino 0: 0: 263.32,1: 258.75,2: 253.83,3: 248.55,4: 244.69,5: 238.71,6: 234.14
Time: 19/19:7:48 Arduino 0: 0: 263.32,1: 258.40,2: 253.83,3: 249.61,4: 243.63,5: 240.12,6: 234.49
Time: 19/19:7:48 Arduino 0: 0: 262.97,1: 258.75,2: 253.48,3: 248.91,4: 244.69,5: 238.36,6: 234.84
Time: 19/19:7:48 Arduino 0: 0: 262.97,1: 258.05,2: 253.83,3: 248.55,4: 243.28,5: 239.06,6: 233.09
Time: 19/19:7:49 Arduino 0: 0: 263.32,1: 258.40,2: 252.42,3: 248.91,4: 243.98,5: 238.01,6: 234.84
Time: 19/19:7:49 Arduino 0: 0: 262.97,1: 258.05,2: 253.83,3: 247.85,4: 243.63,5: 238.71,6: 232.73
Time: 19/19:7:49 Arduino 0: 0: 262.97,1: 258.40,2: 252.77,3: 249.26,4: 243.28,5: 238.36,6: 234.14
Time: 19/19:7:49 Arduino 0: 0: 262.97,1: 258.40,2: 253.48,3: 247.85,4: 244.34,5: 238.36,6: 233.44
