Time: 19/19:6:37 Arduino 0: 
Time: 19/19:6:37 Arduino 0: 0: 262.97,1: 247.15,2: 236.95,3: 228.87,4: 221.84,5: 216.21,6: 212.70
Time: 19/19:6:37 Arduino 0: 0: 262.97,1: 255.94,2: 246.80,3: 238.36,4: 231.68,5: 222.89,6: 218.32
Time: 19/19:6:38 Arduino 0: 0: 262.97,1: 256.29,2: 250.66,3: 243.63,4: 235.90,5: 229.57,6: 222.19
Time: 19/19:6:38 Arduino 0: 0: 262.62,1: 257.34,2: 250.66,3: 245.74,4: 239.77,5: 231.68,6: 226.76
Time: 19/19:6:38 Arduino 0: 0: 262.97,1: 257.34,2: 252.42,3: 246.09,4: 240.47,5: 234.14,6: 226.76
Time: 19/19:6:38 Arduino 0: 0: 263.32,1: 257.70,2: 251.72,3: 247.85,4: 241.52,5: 235.20,6: 229.92
Time: 19/19:6:38 Arduino 0: 0: 262.97,1: 257.70,2: 252.77,3: 246.80,4: 242.58,5: 236.60,6: 230.27
Time: 19/19:6:38 Arduino 0: 0: 262.97,1: 258.40,2: 253.13,3: 249.26,4: 242.58,5: 237.66,6: 232.38
Time: 19/19:6:38 Arduino 0: 0: 262.97,1: 258.75,2: 253.48,3: 248.20,4: 244.34,5: 237.66,6: 232.73
Time: 19/19:6:38 Arduino 0: 0: 264.02,1: 258.05,2: 253.83,3: 249.26,4: 242.93,5: 238.71,6: 232.38
Time: 19/19:6:38 Arduino 0: 0: 266.48,1: 261.56,2: 254.88,3: 249.61,4: 244.69,5: 238.01,6: 234.14
Time: 19/19:6:38 Arduino 0: 0: 270.00,1: 263.32,2: 258.05,3: 251.37,4: 245.74,5: 240.47,6: 233.44
Time: 19/19:6:38 Arduino 0: 0: 272.81,1: 266.84,2: 259.10,3: 254.53,4: 247.85,5: 241.17,6: 236.60
Time: 19/19:6:38 Arduino 0: 0: 275.63,1: 269.30,2: 263.32,3: 255.94,4: 250.31,5: 243.98,6: 236.95
Time: 19/19:6:38 Arduino 0: 0: 278.44,1: 272.46,2: 264.73,3: 259.45,4: 251.37,5: 245.39,6: 239.41
Time: 19/19:6:39 Arduino 0: 0: 281.60,1: 274.92,2: 267.54,3: 260.51,4: 254.88,5: 246.80,6: 240.12
Time: 19/19:6:39 Arduino 0: 0: 283.71,1: 276.68,2: 269.65,3: 263.67,4: 255.23,5: 249.26,6: 242.23
